一個	yrt go
雙魚	s;j yv
義務	yi mou
形態	yij tai
獎勵	z;j lri
堅強	gin k;j
究竟	gru gij
試試	si si
動態	duj tai
單純	dan s;n
十一	srp yrd
大概	dai koi
天津	tin z;n
注射	zv se
有可能	yru ho nrj
話說	wa svd
金牛	grm jru
丈夫	z;j fu
葡萄	pou tou
不容	brt yuj
注重	zv zuj
公佈	guj bou
毛澤東	mou zak duj
聰明	cuj mij
敏感	mrn grm
優惠	yru wri
生理	srj lei
眼淚	jan l;i
地下	dei ha
隨時	c;i si
出血	c;t hvd
不合	brt hrp
明明	mij mij
男女	nam n;i
人民日報	yrn mrn yrt bou
打算	da svn
不良	brt l;j
平臺	pij toi
心靈	srm lij
鐵路	tit lou
主持	zv ci
上去	s;j h;i
轉化	zvn fa
發育	fat yuk
所在	so zoi
打擊	da gik
下載	ha zoi
亞洲	a zru
出版社	c;t ban se
旅行	l;i hrj
不清	brt cij
雙手	s;j sru
批評	pri pij
不得不	brt drk brd
興奮	hij frn
付出	fu c;d
消除	siu c;i
觀眾	gun zuj
研究所	yin gru so
新型	srn yij
司法	si fad
依靠	yi kau
實用	srt yuj
具備	g;i bei
走過	zru xo
人體	yrn tri
反覆	fan fuk
不停	brt tij
嘿嘿	hei hei
諮詢	zi s;n
黑色	hrk sik
維持	wri ci
千萬	cin man
只好	zi hou
高中	gou zuj
過年	xo nin
肚子	tou zi
骨折	xrt zid
意味	yi mei
加以	ga yi
疼痛	trj tuj
那天	na tin
天秤	tin pij
生氣	saj hei
春節	c;n zid
環保	wan bou
消化	siu fa
建成	gin sij
其次	kei ci
停止	tij zi
色彩	sik coi
明星	mij sij
在外	zoi joi
預測	yv crk
印度	yrn dou
最低	z;i dri
優質	yru zrd
監測	gam crk
中國人民	zuj xok yrn mrn
採訪	coi foj
首次	sru ci
一定會	yrt dij wui
減輕	gam hej
發動	fat duj
白羊	bak y;j
前提	cin tri
警察	gij cad
現有	yin yru
達人	dat yrn
進去	z;n h;i
家人	ga yrn
批准	pri z;n
不久	brt gru
進展	z;n zin
懷疑	wai yi
絕不	zvt brd
負責人	fu zak yrn
混合	wrn hrp
一會兒	yrt wui yi
中藥	zuj y;k
職能	zik nrj
人工	yrn guj
股份	gu frn
稱為	cij wri
羨慕	sin mou
房地產	foj dei can
外交	joi gau
旁邊	poj bin
長大	z;j dai
收費	sru fri
減肥	gam fei
智能	zi nrj
一套	yrt tou
市政	si zij
資格	zi gak
爭取	zrj c;i
還可以	wan ho yi
天然	tin yin
某種	mru zuj
前後	cin hru
利潤	lei y;n
沒事	mut si
設立	cit lap
命運	mij wrn
提前	tri cin
路線	lou sin
感冒	grm mou
補充	bou cuj
都可以	dou ho yi
信用	s;n yuj
發行	fat hrj
病變	bej bin
損害	svn hoi
走進	zru z;n
各自	gok zi
怎麼樣	zrm mo y;j
麻煩	ma fan
浪費	loj fri
定位	dij wri
很少	hrn siu
並非	bij fei
本質	bun zrd
跟著	grn z;k
裝置	zoj zi
城鎮	sij zrn
攝影	sip yij
提示	tri si
大多數	dai do sou
娛樂	yv lok
東方	duj foj
證實	zij srd
更為	grj wri
反而	fan yi
一體	yrt tri
類似	l;i ci
加速	ga cuk
表演	biu yin
足夠	zuk gru
武漢	mou hon
平方米	pij foj mri
連接	lin zip
另一方面	lij yrt foj min
氧化	y;j fa
光棍	xoj xrn
還好	wan hou
廈門	ha mun
金屬	grm suk
最多	z;i do
溫柔	wrn yru
這兒	ze yi
想法	s;j fad
指揮	zi fri
體會	tri wui
層次	crj ci
宗教	zuj gau
治理	zi lei
曲線	kuk sin
笑容	siu yuj
一句話	yrt g;i wa
便是	bin si
風景	fuj gij
朝鮮	ciu sin
早就	zou zru
週年	zru nin
輸出	sv c;d
立法	lap fad
信心	s;n srm
湖南	wu nam
祕密	bei mrd
飼料	zi liu
提醒	tri sej
惡性	ok sij
儘量	z;n l;j
白色	bak sik
進來	z;n loi
車輛	ce l;j
通信	tuj s;n
出席	c;t zik
進程	z;n cij
生產力	srj can lik
每日	mui yrd
公民	guj mrn
化療	fa liu
包裝	bau zoj
沉默	crm mrk
樹立	sv lap
老年	lou nin
參考	cam hau
演出	yin c;d
右邊	yru bin
敵人	dik yrn
違法	wri fad
流量	lru l;j
急性	grp sij
放下	foj ha
經濟效益	gij zri hau yik
週期	zru kei
為何	wri ho
機遇	gei yv
用來	yuj loi
展開	zin hoi
儘快	z;n fai
人群	yrn qrn
極大	gik dai
難過	nan xo
衣服	yi fuk
原理	yvn lei
作家	zok ga
不對	brt d;i
你們的	nei mun dik
初步	co bou
星座	sij zo
鏈接	lin zip
區別	k;i bid
啟動	kri duj
法制	fat zri
放心	foj srm
人數	yrn sou
在內	zoi noi
收集	sru zap
危機	jri gei
是非	si fei
編輯	pin crp
照顧	ziu gu
回頭	wui tru
劑量	zri l;j
宿舍	suk se
至於	zi yv
併發	bij fad
貧困	prn qrn
厲害	lri hoi
半年	bun nin
秩序	dit z;i
能量	nrj l;j
聯通	lvn tuj
有力	yru lik
默默	mrk mrk
財產	coi can
眼神	jan srn
幸運	hrj wrn
科學技術	fo hok gei s;d
浪漫	loj man
心肌	srm gei
將會	z;j wui
時光	si xoj
通訊	tuj s;n
種植	zuj zik
研製	yin zri
事物	si mrd
獨特	duk drk
一代	yrt doi
下次	ha ci
願望	yvn moj
讀書	duk sv
幾十	gei srp
較為	gau wri
紛紛	frn frn
一分	yrt frn
監察	gam cad
會見	wui gin
造型	zou yij
領導人	lij dou yrn
休閒	yru han
崗位	goj wri
自行	zi hrj
不適	brt sik
日益	yrt yik
評估	pij gu
公平	guj pij
後悔	hru fui
受傷	sru s;j
模糊	mou wu
因子	yrn zi
收藏	sru coj
答案	dap on
地面	dei min
無限	mou han
自主	zi zv
展示	zin si
密度	mrt dou
基於	gei yv
男生	nam srj
複合	fuk hrp
考核	hau hrd
上網	s;j moj
眾多	zuj do
我愛你	jo oi nei
月份	yvt frn
背後	bui hru
主管	zv gun
正品	zij brn
機器	gei hei
交換	gau wun
低於	dri yv
智慧	zi wri
鑑定	gam dij
品質	brn zrd
裝飾	zoj sik
邏輯	lo crp
長江	c;j goj
頻率	prn l;d
不怕	brt pa
自信	zi s;n
將來	z;j loi
不一樣	brt yrt y;j
全世界	cvn sri gai
傷心	s;j srm
之下	zi ha
性格	sij gak
會不會	wui brt wui
邀請	yiu cij
係數	hri sou
體內	tri noi
不下	brt ha
妹妹	mui mui
拿出	na c;d
勇氣	yuj hei
多數	do sou
腐敗	fu bai
男孩	nam hai
常見	s;j gin
門口	mun hru
鍛鍊	dvn lin
整理	zij lei
上課	s;j fo
年底	nin dri
對待	d;i doi
意外	yi joi
奮鬥	frn dru
成都	sij dou
同事	tuj si
理性	lei sij
思路	si lou
神祕	srn bei
輸入	sv yrp
配置	pui zi
前進	cin z;n
圍繞	wri yiu
血清	hvt cij
配套	pui tou
深深	srm srm
尚未	s;j mei
沒想到	mut s;j dou
男性	nam sij
各方	gok foj
負擔	fu dam
群體	qrn tri
貨幣	fo bri
轉換	zvn wun
平時	pij si
忍不住	yrn brt zv
幹嘛	gon ma
住房	zv foj
愛上	oi s;j
少女	siu n;i
深化	srm fa
想想	s;j s;j
紅色	huj sik
真相	zrn s;j
技能	gei nrj
新鮮	srn sin
財務	coi mou
老大	lou dai
依賴	yi lai
好幾	hou gei
分類	frn l;i
和諧	wo hai
不然	brt yin
承諾	sij nok
人心	yrn srm
外套	joi tou
全體	cvn tri
修改	sru goi
落後	lok hru
等級	drj krp
宏觀	wrj gun
水果	s;i xo
從此	cuj ci
此次	ci ci
單身	dan srn
衝擊	cuj gik
工商	guj s;j
活力	wut lik
沒什麼	mut srm mo
新年快樂	srn nin fai lok
作風	zok fuj
感恩	grm yrn
驚喜	gij hei
僅僅	grn grn
手指	sru zi
商務	s;j mou
信任	s;n yrm
堅定	gin dij
幫忙	boj moj
國內外	xok noi joi
角色	gok sik
動脈	duj mrk
隨便	c;i bin
論文	l;n mrn
武器	mou hei
工作人員	guj zok yrn yvn
消防	siu foj
恭喜	guj hei
上帝	s;j dri
證券	zij hvn
印象	yrn z;j
靜脈	zij mrk
仔細	zi sri
裝備	zoj bei
軍隊	xrn d;i
黃金	woj grm
官員	gun yvn
無奈	mou noi
答應	dap yij
剩下	zij ha
意大利	yi dai lei
對手	d;i sru
課題	fo tri
保健	bou gin
通道	tuj dou
陌生	mrk srj
傷不起	s;j brt hei
送給	suj krp
染色	yim sik
國有企業	xok yru kei yip
據說	g;i svd
得出	drk c;d
慢性	man sij
發言	fat yin
危害	jri hoi
噁心	ok srm
問道	mrn dou
新生	srn srj
緊緊	grn grn
大陸	dai luk
合法	hrp fad
登記	drj gei
體重	tri cuj
建材	gin coi
失望	srt moj
教材	gau coi
在下	zoi ha
服裝	fuk zoj
共產黨	guj can doj
森林	srm lrm
創意	coj yi
閱讀	yvt duk
再說	zoi svd
三個代表	sam go doi biu
搞好	gau hou
浙江省	zit goj saj
取消	c;i siu
近期	grn kei
要看	yiu hon
不利	brt lei
開口	hoi hru
合成	hrp sij
民間	mrn gan
蔬菜	so coi
人均	yrn xrn
主張	zv z;j
等到	drj dou
不成	brt sij
婚姻	frn yrn
兩岸	l;j jon
監管	gam gun
證據	zij g;i
畢竟	brt gij
予以	yv yi
伊拉克	yi lai hrk
北京市	brk gij si
室內	srt noi
詳細	c;j sri
瘋狂	fuj koj
克服	hrk fuk
某人	mru yrn
高效	gou hau
玉米	yuk mri
一群	yrt qrn
出生	c;t saj
原料	yvn liu
人民幣	yrn mrn bri
覆蓋	fuk goi
威脅	wri hip
好玩	hou wan
公斤	guj grn
不安	brt on
合併	hrp bij
早安	zou on
制約	zri y;k
支付	zi fu
對比	d;i bei
激烈	gik lid
牛奶	jru nai
司機	si gei
火車	fo ce
傢伙	ga fo
得了	drk liu
差距	ca k;i
靈魂	lij wrn
有些人	yru se yrn
看起來	hon hei loi
能否	nrj fru
清晰	cij sik
公主	guj zv
收穫	sru wok
增大	zrj dai
向前	h;j cin
傳說	cvn svd
摩羯	mo kid
呈現	cij yin
圖書館	tou sv gun
緩解	wun gai
模擬	mou yi
現狀	yin zoj
原文	yvn mrn
歡樂	fun lok
均勻	xrn wrn
馬克思主義	ma hrk si zv yi
承受	sij sru
種種	zuj zuj
意味著	yi mei z;k
漸漸	zim zim
氣氛	hei frn
股票	gu piu
渠道	k;i dou
搭配	dap pui
遺傳	wri cvn
遺憾	wri hrm
積累	zik l;i
毛主席	mou zv zik
大隊	dai d;i
年度	nin dou
大人	dai yrn
積極性	zik gik sij
相似	s;j ci
故意	gu yi
沒有什麼	mut yru srm mo
辦理	ban lei
含有	hrm yru
果斷	xo dvn
口氣	hru hei
地點	dei dim
見面	gin min
選用	svn yuj
懷念	wai nim
內涵	noi ham
或是	wak si
溝通	kru tuj
村民	cvn mrn
營銷	yij siu
健全	gin cvn
天空	tin huj
記住	gei zv
難受	nan sru
大師	dai si
以往	yi woj
當代	doj doi
古代	gu doi
校園	hau yvn
孤獨	gu duk
老子	lou zi
大哥	dai go
經理	gij lei
伸出	srn c;d
脂肪	zi foj
故障	gu z;j
湖北	wu brk
擴散	koj san
等於	drj yv
穿著	cvn z;k
選項	svn hoj
註冊	zv cak
十幾	srp gei
青少年	cij siu nin
居住	g;i zv
歲月	s;i yvd
心態	srm tai
所需	so s;i
非典	fei din
報紙	bou zi
工作者	guj zok ze
總之	zuj zi
創業	coj yip
自治	zi zi
將軍	z;j xrn
難得	nan drk
干擾	gon yiu
條例	tiu lri
衝突	cuj drd
十六	srp luk
西安	sri on
平等	pij drj
辦事	ban si
活著	wut z;k
大聲	dai sij
週末	zru mud
演員	yin yvn
地理	dei lei
肌肉	gei yuk
大獎	dai z;j
不論	brt l;n
本地	bun dei
身子	srn zi
幼兒	yru yi
大於	dai yv
經費	gij fri
東北	duj brk
有限公司	yru han guj si
示範	si fan
博士	bok si
延長	yin c;j
不禁	brt grm
乾淨	gon zej
一回	yrt wui
年輕人	nin hij yrn
混凝土	wrn yij tou
糾結	gru gid
你我	nei jo
土壤	tou y;j
無疑	mou yi
辦學	ban hok
貌似	mau ci
雲南	wrn nam
隨機	c;i gei
預計	yv gri
差不多	ca brt do
合適	hrp sik
早餐	zou can
這類	ze l;i
酒店	zru dim
醒來	sij loi
冬季	duj xri
算了	svn liu
趕快	gon fai
到處	dou cv
保留	bou lru
描述	miu s;d
法院	fat yvn
下班	ha ban
電信	din s;n
主角	zv gok
優點	yru dim
在乎	zoi fu
振動	zrn duj
轉身	zvn srn
愛國	oi xok
之所以	zi so yi
承包	sij bau
帶動	dai duj
快點	fai dim
第六	dri luk
釋放	sik foj
無數	mou sou
舞臺	mou toi
不一定	brt yrt dij
日常	yrt s;j
理念	lei nim
擔任	dam yrm
安慰	on wri
孩子們	hai zi mun
以外	yi joi
看法	hon fad
眼光	jan xoj
聽見	tej gin
嚴肅	yim suk
從不	cuj brd
移民	yi mrn
便宜	pin yi
演唱	yin c;j
廣場	xoj c;j
董事	duj si
不滿	brt mun
靈活	lij wud
大幅	dai fuk
話題	wa tri
季節	xri zid
局面	guk min
到來	dou loi
中文	zuj mrn
其餘	kei yv
財富	coi fu
找不到	zau brt dou
開拓	hoi tok
外資	joi zi
佔有	zim yru
石油	sek yru
實驗室	srt yim srd
地鐵	dei tid
流通	lru tuj
激勵	gik lri
為止	wri zi
奶奶	nai nai
回事	wui si
實質	srt zrd
五十	j srp
交往	gau woj
援助	wun zo
安靜	on zij
事實上	si srt s;j
不動	brt duj
祕書	bei sv
露出	lou c;d
南方	nam foj
決不	kvt brd
策略	cak l;k
平靜	pij zij
一刻	yrt hak
隊員	d;i yvn
不該	brt goi
暫時	zam si
投資者	tru zi ze
依舊	yi gru
一遍	yrt pin
戰士	zin si
透明	tru mij
當初	doj co
事務	si mou
原諒	yvn l;j
獅子座	si zi zo
相反	s;j fan
得以	drk yi
維生	wri srj
早晨	zou srn
回回	wui wui
小時候	siu si hru
復發	fuk fad
變形	bin yij
練習	lin zap
從中	cuj zuj
魅力	mei lik
好聽	hou tej
定義	dij yi
大事	dai si
飲食	yrm sik
兩者	l;j ze
親自	crn zi
選舉	svn g;i
熱烈	yit lid
國民經濟	xok mrn gij zri
約束	y;k cuk
傾向	kij h;j
白天	bak tin
嘗試	s;j si
有錢	yru cin
再見	zoi gin
營業	yij yip
推行	t;i hrj
支撐	zi caj
不肯	brt hrj
算是	svn si
那兒	na yi
煩惱	fan nou
哪兒	na yi
河北	ho brk
能源	nrj yvn
勇敢	yuj grm
悲劇	bei kek
奧運	ou wrn
維生素	wri srj sou
五年	j nin
一身	yrt srn
應有	yij yru
眾人	zuj yrn
局長	guk z;j
手裡	sru l;i
消毒	siu duk
半個	bun go
四十	sei srp
武裝	mou zoj
軸承	zuk sij
化妝	fa zoj
市政府	si zij fu
工廠	guj coj
地震	dei zrn
儀式	yi sik
課堂	fo toj
前景	cin gij
人格	yrn gak
審批	srm pri
報名	bou mej
天蠍	tin kid
境界	gij gai
愉快	yv fai
姐妹	ze mui
黑暗	hrk rm
房屋	foj uk
雞蛋	gri dan
向上	h;j s;j
刑事	yij si
定期	dij kei
收益	sru yik
大眾	dai zuj
想念	s;j nim
臨時	lrm si
潛力	cim lik
拍攝	pak sip
原本	yvn bun
艱苦	gan fu
點點	dim dim
高達	gou dad
十三	srp sam
要素	yiu sou
大約	dai y;k
專用	zvn yuj
只不過	zi brt xo
分手	frn sru
公正	guj zij
初中	co zuj
人文	yrn mrn
宇宙	yv zru
生成	srj sij
無人	mou yrn
多久	do gru
喝酒	hot zru
內在	noi zoi
中華人民共和國	zuj wa yrn mrn guj wo xok
個別	go bid
爆炸	bau za
遠遠	yvn yvn
命令	mij lij
運作	wrn zok
臉色	lim sik
新疆	srn g;j
同期	tuj kei
優良	yru l;j
有助	yru zo
好奇	hou kei
聖誕節	sij dan zid
爆發	bau fad
選手	svn sru
對話	d;i wa
客人	hak yrn
到達	dou dad
清醒	cij sij
擴張	koj z;j
科學家	fo hok ga
過多	xo do
現金	yin grm
履行	lei hrj
非法	fei fad
畫面	wa min
獎品	z;j brn
氣質	hei zrd
職責	zik zak
註定	zv dij
在世	zoi sri
一雙	yrt s;j
代表團	doi biu tvn
儀器	yi hei
雙子座	s;j zi zo
畢業生	brt yip srj
緊密	grn mrd
外科	joi fo
在前	zoi cin
真空	zrn huj
增多	zrj do
街道	gai dou
交給	gau krp
阻止	zo zi
中共中央	zuj guj zuj y;j
好事	hou si
駕駛	ga sri
著眼	z;k jan
聲明	sij mij
談判	tam pun
海外	hoi joi
此刻	ci hrk
一番	yrt fan
熱銷	yit siu
人力	yrn lik
隨後	c;i hru
收購	sru kru
高速公路	gou cuk guj lou
以便	yi bin
代理	doi lei
傳遞	cvn dri
下雨	ha yv
打破	da po
運動員	wrn duj yvn
首都	sru dou
半夜	bun ye
安徽	on fri
多樣	do y;j
巨蟹	g;i hai
氣候	hei hru
培育	pui yuk
情人	cij yrn
龍年	luj nin
巨蟹座	g;i hai zo
一千	yrt cin
翻譯	fan yik
友誼	yru yi
小區	siu k;i
缺少	kvt siu
從未	cuj mei
後果	hru xo
乾燥	gon cou
毫不	hou brd
正好	zij hou
無關	mou xan
後者	hru ze
蛋糕	dan gou
贏得	yej drk
不變	brt bin
差別	ca bid
分化	frn fa
恐懼	huj g;i
好處	hou cv
律師	l;t si
裝修	zoj sru
山西	san sri
護理	wu lei
嘻嘻	hei hei
全國人大	cvn xok yrn dai
廉政	lim zij
高血壓	gou hvt ad
普及	pou krp
好心	hou srm
一層	yrt crj
尺寸	cek cvn
人為	yrn wri
百分之	bak frn zi
激情	gik cij
不理	brt lei
共有	guj yru
缺陷	kvt ham
帶領	dai lej
飼養	zi y;j
大門	dai mun
論壇	l;n tan
決心	kvt srm
試點	si dim
雙魚座	s;j yv zo
腦袋	nou doi
採購	coi kru
常委	s;j wri
包含	bau hrm
購物	kru mrd
基礎設施	gei co cit si
長時	c;j si
澳門	ou mun
參觀	cam gun
非洲	fei zru
用手	yuj sru
玫瑰	mui xri
結局	git guk
西藏	sri zoj
寫作	se zok
基本上	gei bun s;j
防水	foj s;i
阿拉	a lai
預算	yv svn
身後	srn hru
代替	doi tri
之際	zi zri
迎接	yij zip
恐怕	huj pa
情形	cij yij
遇見	yv gin
排除	pai c;i
權益	kvn yik
微微	mei mei
病情	bej cij
國防	xok foj
保存	bou cvn
節約	zit y;k
實事	srt si
種類	zuj l;i
弟弟	dri dri
知名	zi mij
保暖	bou nvn
深度	srm dou
太太	tai tai
在線	zoi sin
從小	cuj siu
若干	y;k gon
當事	doj si
引發	yrn fad
穩定性	wrn dij sij
場所	c;j so
機場	gei c;j
金牛座	grm jru zo
傳染	cvn yim
多大	do dai
受體	sru tri
超越	ciu yvd
轉向	zvn h;j
巴黎	ba lri
受不了	sru brt liu
攻擊	guj gik
號碼	hou ma
江湖	goj wu
黨組	doj zou
一手	yrt sru
人性	yrn sij
失戀	srt lvn
談話	tam wa
聯盟	lvn mrj
校長	hau z;j
反腐	fan fu
精神文明	zij srn mrn mij
顧客	gu hak
鞏固	guj gu
起身	hei srn
研討	yin tou
無效	mou hau
度過	dou xo
同步	tuj bou
腦子	nou zi
放鬆	foj suj
治癒	zi yv
總量	zuj l;j
直徑	zik gij
做人	zou yrn
代謝	doi ze
確立	kok lap
人事	yrn si
函數	ham sou
不幸	brt hrj
步伐	bou frd
要麼	yiu mo
廚房	cv foj
對了	d;i liu
難度	nan dou
原始	yvn ci
海洋	hoi y;j
廣播	xoj bo
自從	zi cuj
聊天	liu tin
災害	zoi hoi
到位	dou wri
極為	gik wri
團體	tvn tri
未能	mei nrj
誘惑	yru wak
倒是	dou si
對應	d;i yij
任何人	yrm ho yrn
大膽	dai dam
東南	duj nam
收縮	sru suk
當天	doj tin
天秤座	tin pij zo
越來越多	yvt lri yvt do
繁榮	fan wij
細菌	sri qrn
出租	c;t zou
處罰	cv frd
子宮	zi guj
特定	drk dij
一日	yrt yrd
外部	joi bou
領取	lij c;i
內外	noi joi
要好	yiu hou
確認	kok yij
移植	yi zik
添加	tim ga
中國共產黨	zuj xok guj can doj
分開	frn hoi
達成	dat sij
出臺	c;t toi
白羊座	bak y;j zo
資本主義	zi bun zv yi
有無	yru mou
腳步	g;k bou
偶爾	jru yi
身材	srn coi
肌膚	gei fu
如同	yv tuj
搞笑	gau siu
優先	yru sin
共和	guj wo
所致	so zi
犧牲	hei srj
失眠	srt min
修復	sru fuk
藍色	lam sik
原有	yvn yru
隨意	c;i yi
模樣	mou y;j
傳來	cvn loi
雜交	zap gau
眼中	jan zuj
放射	foj se
節日	zit yrd
座談	zo tam
檢察	gim cad
繼承	gri sij
脾氣	pei hei
神奇	srn kei
市長	si z;j
差點	ca dim
桃花	tou fa
有助於	yru zo yv
階級	gai krp
年紀	nin gei
離子	lei zi
渴望	hot moj
天地	tin dei
有趣	yru c;i
單一	dan yrd
消耗	siu hou
生意	saj yi
顆粒	fo lrp
特價	drk ga
當今	doj grm
輕易	hij yi
輻射	fuk se
審美	srm mei
在意	zoi yi
缺點	kvt dim
糖尿病	toj niu bej
意志	yi zi
不平	brt pij
以色列	yi sik lid
放入	foj yrp
融合	yuj hrp
真誠	zrn sij
衝動	cuj duj
舒適	sv sik
高溫	gou wrn
有一些	yru yrt se
活躍	wut y;k
透露	tru lou
長得	z;j drk
不易	brt yi
加重	ga zuj
精度	zij dou
美人	mei yrn
一下子	yrt ha zi
可持續發展	ho ci zuk fat zin
附屬	fu suk
調動	diu duj
無比	mou bei
世上	sri s;j
一行	yrt hrj
禁止	grm zi
清理	cij lei
全民	cvn mrn
違反	wri fan
長度	c;j dou
蛋白質	dan bak zrd
全新	cvn srn
昨日	zok yrd
常用	s;j yuj
年內	nin noi
耳朵	yi do
黨中央	doj zuj y;j
媽的	ma dik
補償	bou s;j
競爭力	gij zrj lik
發達國家	fat dat xok ga
前往	cin woj
善於	sin yv
第七	dri crd
