一个	yrt go
毛泽东	mou zak duj
聪明	cuj mij
敏感	mrn grm
优惠	yru wri
生理	srj lei
眼泪	jan l;i
地下	dei ha
随时	c;i si
出血	c;t hvt
不合	brt hrp
明明	mij mij
男女	nam n;i
人民日报	yrn mrn yrt bou
打算	da svn
不良	brt l;j
平台	pij toi
心灵	srm lij
铁路	tit lou
主持	zv ci
上去	s;j h;i
转化	zvn fa
发育	fat yuk
所在	so zoi
打击	da gik
下载	ha zoi
亚洲	a zru
出版社	c;t ban se
旅行	l;i hrj
不清	brt cij
双手	s;j sru
批评	pri pij
不得不	brt drk brt
兴奋	hij frn
付出	fu c;t
消除	siu c;i
观众	gun zuj
研究所	yin gru so
新型	srn yij
司法	si fat
依靠	yi kau
实用	srt yuj
具备	g;i bei
走过	zru xo
人体	yrn tri
反复	fan fuk
不停	brt tij
嘿嘿	hei hei
咨询	zi s;n
黑色	hrk sik
维持	wri ci
千万	cin man
只好	zi hou
高中	gou zuj
过年	xo nin
肚子	tou zi
骨折	xrt zit
意味	yi mei
加以	ga yi
疼痛	trj tuj
那天	na tin
天秤	tin pij
生气	saj hei
春节	c;n zit
环保	wan bou
消化	siu fa
建成	gin sij
其次	kei ci
停止	tij zi
色彩	sik coi
明星	mij sij
在外	zoi joi
预测	yv crk
印度	yrn dou
最低	z;i dri
优质	yru zrt
监测	gam crk
中国人民	zuj xok yrn mrn
采访	coi foj
首次	sru ci
一定会	yrt dij wui
减轻	gam hej
发动	fat duj
白羊	bak y;j
前提	cin tri
警察	gij cat
现有	yin yru
达人	dat yrn
进去	z;n h;i
家人	ga yrn
批准	pri z;n
不久	brt gru
进展	z;n zin
怀疑	wai yi
绝不	zvt brt
负责人	fu zak yrn
混合	wrn hrp
一会儿	yrt wui yi
中药	zuj y;k
职能	zik nrj
人工	yrn guj
股份	gu frn
称为	cij wri
羡慕	sin mou
房地产	foj dei can
外交	joi gau
旁边	poj bin
长大	z;j dai
收费	sru fri
减肥	gam fei
智能	zi nrj
一套	yrt tou
市政	si zij
资格	zi gak
争取	zrj c;i
还可以	wan ho yi
天然	tin yin
某种	mru zuj
前后	cin hru
利润	lei y;n
没事	mut si
设立	cit lap
命运	mij wrn
提前	tri cin
路线	lou sin
感冒	grm mou
补充	bou cuj
都可以	dou ho yi
信用	s;n yuj
发行	fat hrj
病变	bej bin
损害	svn hoi
走进	zru z;n
各自	gok zi
怎么样	zrm mo y;j
麻烦	ma fan
浪费	loj fri
定位	dij wri
很少	hrn siu
并非	bij fei
本质	bun zrt
跟着	grn z;k
装置	zoj zi
城镇	sij zrn
摄影	sip yij
提示	tri si
大多数	dai do sou
娱乐	yv lok
东方	duj foj
证实	zij srt
更为	grj wri
反而	fan yi
一体	yrt tri
类似	l;i ci
加速	ga cuk
表演	biu yin
足够	zuk gru
武汉	mou hon
平方米	pij foj mri
连接	lin zip
另一方面	lij yrt foj min
氧化	y;j fa
光棍	xoj xrn
还好	wan hou
厦门	ha mun
金属	grm suk
最多	z;i do
温柔	wrn yru
这儿	ze yi
想法	s;j fat
指挥	zi fri
体会	tri wui
层次	crj ci
宗教	zuj gau
治理	zi lei
曲线	kuk sin
笑容	siu yuj
一句话	yrt g;i wa
便是	bin si
风景	fuj gij
朝鲜	ciu sin
早就	zou zru
周年	zru nin
输出	sv c;t
立法	lap fat
信心	s;n srm
湖南	wu nam
秘密	bei mrt
饲料	zi liu
提醒	tri sej
恶性	ok sij
尽量	z;n l;j
白色	bak sik
进来	z;n loi
车辆	ce l;j
通信	tuj s;n
出席	c;t zik
进程	z;n cij
生产力	srj can lik
每日	mui yrt
公民	guj mrn
化疗	fa liu
包装	bau zoj
沉默	crm mrk
树立	sv lap
老年	lou nin
参考	cam hau
演出	yin c;t
右边	yru bin
敌人	dik yrn
违法	wri fat
流量	lru l;j
急性	grp sij
放下	foj ha
经济效益	gij zri hau yik
周期	zru kei
为何	wri ho
机遇	gei yv
用来	yuj loi
展开	zin hoi
尽快	z;n fai
人群	yrn qrn
极大	gik dai
难过	nan xo
衣服	yi fuk
原理	yvn lei
作家	zok ga
不对	brt d;i
你们的	nei mun dik
初步	co bou
星座	sij zo
链接	lin zip
区别	k;i bit
启动	kri duj
法制	fat zri
放心	foj srm
人数	yrn sou
在内	zoi noi
收集	sru zap
危机	jri gei
是非	si fei
编辑	pin crp
照顾	ziu gu
回头	wui tru
剂量	zri l;j
宿舍	suk se
至于	zi yv
并发	bij fat
贫困	prn qrn
厉害	lri hoi
半年	bun nin
秩序	dit z;i
能量	nrj l;j
联通	lvn tuj
有力	yru lik
默默	mrk mrk
财产	coi can
眼神	jan srn
幸运	hrj wrn
科学技术	fo hok gei s;t
浪漫	loj man
心肌	srm gei
将会	z;j wui
时光	si xoj
通讯	tuj s;n
种植	zuj zik
研制	yin zri
事物	si mrt
独特	duk drk
一代	yrt doi
下次	ha ci
愿望	yvn moj
读书	duk sv
几十	gei srp
较为	gau wri
纷纷	frn frn
一分	yrt frn
监察	gam cat
会见	wui gin
造型	zou yij
领导人	lij dou yrn
休闲	yru han
岗位	goj wri
自行	zi hrj
不适	brt sik
日益	yrt yik
评估	pij gu
公平	guj pij
后悔	hru fui
受伤	sru s;j
模糊	mou wu
因子	yrn zi
收藏	sru coj
答案	dap on
地面	dei min
无限	mou han
自主	zi zv
展示	zin si
密度	mrt dou
基于	gei yv
男生	nam srj
复合	fuk hrp
考核	hau hrt
上网	s;j moj
众多	zuj do
我爱你	jo oi nei
月份	yvt frn
背后	bui hru
主管	zv gun
正品	zij brn
机器	gei hei
交换	gau wun
低于	dri yv
智慧	zi wri
鉴定	gam dij
品质	brn zrt
装饰	zoj sik
逻辑	lo crp
长江	c;j goj
频率	prn l;t
不怕	brt pa
自信	zi s;n
将来	z;j loi
不一样	brt yrt y;j
全世界	cvn sri gai
伤心	s;j srm
之下	zi ha
性格	sij gak
会不会	wui brt wui
邀请	yiu cij
系数	hri sou
体内	tri noi
不下	brt ha
妹妹	mui mui
拿出	na c;t
勇气	yuj hei
多数	do sou
腐败	fu bai
男孩	nam hai
常见	s;j gin
门口	mun hru
锻炼	dvn lin
整理	zij lei
上课	s;j fo
年底	nin dri
对待	d;i doi
意外	yi joi
奋斗	frn dru
成都	sij dou
同事	tuj si
理性	lei sij
思路	si lou
神秘	srn bei
输入	sv yrp
配置	pui zi
前进	cin z;n
围绕	wri yiu
血清	hvt cij
配套	pui tou
深深	srm srm
尚未	s;j mei
没想到	mut s;j dou
男性	nam sij
各方	gok foj
负担	fu dam
群体	qrn tri
货币	fo bri
转换	zvn wun
平时	pij si
忍不住	yrn brt zv
干嘛	gon ma
住房	zv foj
爱上	oi s;j
少女	siu n;i
深化	srm fa
想想	s;j s;j
红色	huj sik
真相	zrn s;j
技能	gei nrj
新鲜	srn sin
财务	coi mou
老大	lou dai
依赖	yi lai
好几	hou gei
分类	frn l;i
和谐	wo hai
不然	brt yin
承诺	sij nok
人心	yrn srm
外套	joi tou
全体	cvn tri
修改	sru goi
落后	lok hru
等级	drj krp
宏观	wrj gun
水果	s;i xo
从此	cuj ci
此次	ci ci
单身	dan srn
冲击	cuj gik
工商	guj s;j
活力	wut lik
没什么	mut srm mo
新年快乐	srn nin fai lok
作风	zok fuj
感恩	grm yrn
惊喜	gij hei
仅仅	grn grn
手指	sru zi
商务	s;j mou
信任	s;n yrm
坚定	gin dij
帮忙	boj moj
国内外	xok noi joi
角色	gok sik
动脉	duj mrk
随便	c;i bin
论文	l;n mrn
武器	mou hei
工作人员	guj zok yrn yvn
消防	siu foj
恭喜	guj hei
上帝	s;j dri
证券	zij hvn
印象	yrn z;j
静脉	zij mrk
仔细	zi sri
装备	zoj bei
军队	xrn d;i
黄金	woj grm
官员	gun yvn
无奈	mou noi
答应	dap yij
剩下	zij ha
意大利	yi dai lei
对手	d;i sru
课题	fo tri
保健	bou gin
通道	tuj dou
陌生	mrk srj
伤不起	s;j brt hei
送给	suj krp
染色	yim sik
国有企业	xok yru kei yip
据说	g;i svt
得出	drk c;t
慢性	man sij
发言	fat yin
危害	jri hoi
恶心	ok srm
问道	mrn dou
新生	srn srj
紧紧	grn grn
大陆	dai luk
合法	hrp fat
登记	drj gei
体重	tri cuj
建材	gin coi
失望	srt moj
教材	gau coi
在下	zoi ha
服装	fuk zoj
共产党	guj can doj
森林	srm lrm
创意	coj yi
阅读	yvt duk
再说	zoi svt
三个代表	sam go doi biu
搞好	gau hou
浙江省	zit goj saj
取消	c;i siu
近期	grn kei
要看	yiu hon
不利	brt lei
开口	hoi hru
合成	hrp sij
民间	mrn gan
蔬菜	so coi
人均	yrn xrn
主张	zv z;j
等到	drj dou
不成	brt sij
婚姻	frn yrn
两岸	l;j jon
监管	gam gun
证据	zij g;i
毕竟	brt gij
予以	yv yi
伊拉克	yi lai hrk
北京市	brk gij si
室内	srt noi
详细	c;j sri
疯狂	fuj koj
克服	hrk fuk
某人	mru yrn
高效	gou hau
玉米	yuk mri
一群	yrt qrn
出生	c;t saj
原料	yvn liu
人民币	yrn mrn bri
覆盖	fuk goi
威胁	wri hip
好玩	hou wan
公斤	guj grn
不安	brt on
合并	hrp bij
早安	zou on
制约	zri y;k
支付	zi fu
对比	d;i bei
激烈	gik lit
牛奶	jru nai
司机	si gei
火车	fo ce
家伙	ga fo
得了	drk liu
差距	ca k;i
灵魂	lij wrn
有些人	yru se yrn
看起来	hon hei loi
能否	nrj fru
清晰	cij sik
公主	guj zv
收获	sru wok
增大	zrj dai
向前	h;j cin
传说	cvn svt
摩羯	mo kit
呈现	cij yin
图书馆	tou sv gun
缓解	wun gai
模拟	mou yi
现状	yin zoj
原文	yvn mrn
欢乐	fun lok
均匀	xrn wrn
马克思主义	ma hrk si zv yi
承受	sij sru
种种	zuj zuj
意味着	yi mei z;k
渐渐	zim zim
气氛	hei frn
股票	gu piu
渠道	k;i dou
搭配	dap pui
遗传	wri cvn
遗憾	wri hrm
积累	zik l;i
毛主席	mou zv zik
大队	dai d;i
年度	nin dou
大人	dai yrn
积极性	zik gik sij
相似	s;j ci
故意	gu yi
没有什么	mut yru srm mo
办理	ban lei
含有	hrm yru
果断	xo dvn
口气	hru hei
地点	dei dim
见面	gin min
选用	svn yuj
怀念	wai nim
内涵	noi ham
或是	wak si
沟通	kru tuj
村民	cvn mrn
营销	yij siu
健全	gin cvn
天空	tin huj
记住	gei zv
难受	nan sru
大师	dai si
以往	yi woj
当代	doj doi
古代	gu doi
校园	hau yvn
孤独	gu duk
老子	lou zi
大哥	dai go
经理	gij lei
伸出	srn c;t
脂肪	zi foj
故障	gu z;j
湖北	wu brk
扩散	koj san
等于	drj yv
穿着	cvn z;k
选项	svn hoj
注册	zv cak
十几	srp gei
青少年	cij siu nin
居住	g;i zv
岁月	s;i yvt
心态	srm tai
所需	so s;i
非典	fei din
报纸	bou zi
工作者	guj zok ze
总之	zuj zi
创业	coj yip
自治	zi zi
将军	z;j xrn
难得	nan drk
干扰	gon yiu
条例	tiu lri
冲突	cuj drt
十六	srp luk
西安	sri on
平等	pij drj
办事	ban si
活着	wut z;k
大声	dai sij
周末	zru mut
演员	yin yvn
地理	dei lei
肌肉	gei yuk
大奖	dai z;j
不论	brt l;n
本地	bun dei
身子	srn zi
幼儿	yru yi
大于	dai yv
经费	gij fri
东北	duj brk
有限公司	yru han guj si
示范	si fan
博士	bok si
延长	yin c;j
不禁	brt grm
干净	gon zej
一回	yrt wui
年轻人	nin hij yrn
混凝土	wrn yij tou
纠结	gru git
你我	nei jo
土壤	tou y;j
无疑	mou yi
办学	ban hok
貌似	mau ci
云南	wrn nam
随机	c;i gei
预计	yv gri
差不多	ca brt do
合适	hrp sik
早餐	zou can
这类	ze l;i
酒店	zru dim
醒来	sij loi
冬季	duj xri
算了	svn liu
赶快	gon fai
到处	dou cv
保留	bou lru
描述	miu s;t
法院	fat yvn
下班	ha ban
电信	din s;n
主角	zv gok
优点	yru dim
在乎	zoi fu
振动	zrn duj
转身	zvn srn
爱国	oi xok
之所以	zi so yi
承包	sij bau
带动	dai duj
快点	fai dim
第六	dri luk
释放	sik foj
无数	mou sou
舞台	mou toi
不一定	brt yrt dij
日常	yrt s;j
理念	lei nim
担任	dam yrm
安慰	on wri
孩子们	hai zi mun
以外	yi joi
看法	hon fat
眼光	jan xoj
听见	tej gin
严肃	yim suk
从不	cuj brt
移民	yi mrn
便宜	pin yi
演唱	yin c;j
广场	xoj c;j
董事	duj si
不满	brt mun
灵活	lij wut
大幅	dai fuk
话题	wa tri
季节	xri zit
局面	guk min
到来	dou loi
中文	zuj mrn
其余	kei yv
财富	coi fu
找不到	zau brt dou
开拓	hoi tok
外资	joi zi
占有	zim yru
石油	sek yru
实验室	srt yim srt
地铁	dei tit
流通	lru tuj
激励	gik lri
为止	wri zi
奶奶	nai nai
回事	wui si
实质	srt zrt
五十	j srp
交往	gau woj
援助	wun zo
安静	on zij
事实上	si srt s;j
不动	brt duj
秘书	bei sv
露出	lou c;t
南方	nam foj
决不	kvt brt
策略	cak l;k
平静	pij zij
一刻	yrt hak
队员	d;i yvn
不该	brt goi
暂时	zam si
投资者	tru zi ze
依旧	yi gru
一遍	yrt pin
战士	zin si
透明	tru mij
当初	doj co
事务	si mou
原谅	yvn l;j
狮子座	si zi zo
相反	s;j fan
得以	drk yi
维生	wri srj
早晨	zou srn
回回	wui wui
小时候	siu si hru
复发	fuk fat
变形	bin yij
练习	lin zap
从中	cuj zuj
魅力	mei lik
好听	hou tej
定义	dij yi
大事	dai si
饮食	yrm sik
两者	l;j ze
亲自	crn zi
选举	svn g;i
热烈	yit lit
国民经济	xok mrn gij zri
约束	y;k cuk
倾向	kij h;j
白天	bak tin
尝试	s;j si
有钱	yru cin
再见	zoi gin
营业	yij yip
推行	t;i hrj
支撑	zi caj
不肯	brt hrj
算是	svn si
那儿	na yi
烦恼	fan nou
哪儿	na yi
河北	ho brk
能源	nrj yvn
勇敢	yuj grm
悲剧	bei kek
奥运	ou wrn
维生素	wri srj sou
五年	j nin
一身	yrt srn
应有	yij yru
众人	zuj yrn
局长	guk z;j
手里	sru l;i
消毒	siu duk
半个	bun go
四十	sei srp
武装	mou zoj
轴承	zuk sij
化妆	fa zoj
市政府	si zij fu
工厂	guj coj
地震	dei zrn
仪式	yi sik
课堂	fo toj
前景	cin gij
人格	yrn gak
审批	srm pri
报名	bou mej
天蝎	tin kit
境界	gij gai
愉快	yv fai
姐妹	ze mui
黑暗	hrk rm
房屋	foj uk
鸡蛋	gri dan
向上	h;j s;j
刑事	yij si
定期	dij kei
收益	sru yik
大众	dai zuj
想念	s;j nim
临时	lrm si
潜力	cim lik
拍摄	pak sip
原本	yvn bun
艰苦	gan fu
点点	dim dim
高达	gou dat
十三	srp sam
要素	yiu sou
大约	dai y;k
专用	zvn yuj
只不过	zi brt xo
分手	frn sru
公正	guj zij
初中	co zuj
人文	yrn mrn
宇宙	yv zru
生成	srj sij
无人	mou yrn
多久	do gru
喝酒	hot zru
内在	noi zoi
中华人民共和国	zuj wa yrn mrn guj wo xok
个别	go bit
爆炸	bau za
远远	yvn yvn
命令	mij lij
运作	wrn zok
脸色	lim sik
新疆	srn g;j
同期	tuj kei
优良	yru l;j
有助	yru zo
好奇	hou kei
圣诞节	sij dan zit
爆发	bau fat
选手	svn sru
对话	d;i wa
客人	hak yrn
到达	dou dat
清醒	cij sij
扩张	koj z;j
科学家	fo hok ga
过多	xo do
现金	yin grm
履行	lei hrj
非法	fei fat
画面	wa min
奖品	z;j brn
气质	hei zrt
职责	zik zak
注定	zv dij
在世	zoi sri
一双	yrt s;j
代表团	doi biu tvn
仪器	yi hei
双子座	s;j zi zo
毕业生	brt yip srj
紧密	grn mrt
外科	joi fo
在前	zoi cin
真空	zrn huj
增多	zrj do
街道	gai dou
交给	gau krp
阻止	zo zi
中共中央	zuj guj zuj y;j
好事	hou si
驾驶	ga sri
着眼	z;k jan
声明	sij mij
谈判	tam pun
海外	hoi joi
此刻	ci hrk
一番	yrt fan
热销	yit siu
人力	yrn lik
随后	c;i hru
收购	sru kru
高速公路	gou cuk guj lou
以便	yi bin
代理	doi lei
传递	cvn dri
下雨	ha yv
打破	da po
运动员	wrn duj yvn
首都	sru dou
半夜	bun ye
安徽	on fri
多样	do y;j
巨蟹	g;i hai
气候	hei hru
培育	pui yuk
情人	cij yrn
龙年	luj nin
巨蟹座	g;i hai zo
一千	yrt cin
翻译	fan yik
友谊	yru yi
小区	siu k;i
缺少	kvt siu
从未	cuj mei
后果	hru xo
干燥	gon cou
毫不	hou brt
正好	zij hou
无关	mou xan
后者	hru ze
蛋糕	dan gou
赢得	yej drk
不变	brt bin
差别	ca bit
分化	frn fa
恐惧	huj g;i
好处	hou cv
律师	l;t si
装修	zoj sru
山西	san sri
护理	wu lei
嘻嘻	hei hei
全国人大	cvn xok yrn dai
廉政	lim zij
高血压	gou hvt at
普及	pou krp
好心	hou srm
一层	yrt crj
尺寸	cek cvn
人为	yrn wri
百分之	bak frn zi
激情	gik cij
不理	brt lei
共有	guj yru
缺陷	kvt ham
带领	dai lej
饲养	zi y;j
大门	dai mun
论坛	l;n tan
决心	kvt srm
试点	si dim
双鱼座	s;j yv zo
脑袋	nou doi
采购	coi kru
常委	s;j wri
包含	bau hrm
购物	kru mrt
基础设施	gei co cit si
长时	c;j si
澳门	ou mun
参观	cam gun
非洲	fei zru
用手	yuj sru
玫瑰	mui xri
结局	git guk
西藏	sri zoj
写作	se zok
基本上	gei bun s;j
防水	foj s;i
阿拉	a lai
预算	yv svn
身后	srn hru
代替	doi tri
之际	zi zri
迎接	yij zip
恐怕	huj pa
情形	cij yij
遇见	yv gin
排除	pai c;i
权益	kvn yik
微微	mei mei
病情	bej cij
国防	xok foj
保存	bou cvn
节约	zit y;k
实事	srt si
种类	zuj l;i
弟弟	dri dri
知名	zi mij
保暖	bou nvn
深度	srm dou
太太	tai tai
在线	zoi sin
从小	cuj siu
若干	y;k gon
当事	doj si
引发	yrn fat
稳定性	wrn dij sij
场所	c;j so
机场	gei c;j
金牛座	grm jru zo
传染	cvn yim
多大	do dai
受体	sru tri
超越	ciu yvt
转向	zvn h;j
巴黎	ba lri
受不了	sru brt liu
攻击	guj gik
号码	hou ma
江湖	goj wu
党组	doj zou
一手	yrt sru
人性	yrn sij
失恋	srt lvn
谈话	tam wa
联盟	lvn mrj
校长	hau z;j
反腐	fan fu
精神文明	zij srn mrn mij
顾客	gu hak
巩固	guj gu
起身	hei srn
研讨	yin tou
无效	mou hau
度过	dou xo
同步	tuj bou
脑子	nou zi
放松	foj suj
治愈	zi yv
总量	zuj l;j
直径	zik gij
做人	zou yrn
代谢	doi ze
确立	kok lap
人事	yrn si
函数	ham sou
不幸	brt hrj
步伐	bou frt
要么	yiu mo
厨房	cv foj
对了	d;i liu
难度	nan dou
原始	yvn ci
海洋	hoi y;j
广播	xoj bo
自从	zi cuj
聊天	liu tin
灾害	zoi hoi
到位	dou wri
极为	gik wri
团体	tvn tri
未能	mei nrj
诱惑	yru wak
倒是	dou si
对应	d;i yij
任何人	yrm ho yrn
大胆	dai dam
东南	duj nam
收缩	sru suk
当天	doj tin
天秤座	tin pij zo
越来越多	yvt lri yvt do
繁荣	fan wij
细菌	sri qrn
出租	c;t zou
处罚	cv frt
子宫	zi guj
特定	drk dij
一日	yrt yrt
外部	joi bou
领取	lij c;i
内外	noi joi
要好	yiu hou
确认	kok yij
移植	yi zik
添加	tim ga
中国共产党	zuj xok guj can doj
分开	frn hoi
达成	dat sij
出台	c;t toi
白羊座	bak y;j zo
资本主义	zi bun zv yi
有无	yru mou
脚步	g;k bou
偶尔	jru yi
身材	srn coi
肌肤	gei fu
如同	yv tuj
搞笑	gau siu
优先	yru sin
共和	guj wo
所致	so zi
牺牲	hei srj
失眠	srt min
修复	sru fuk
蓝色	lam sik
原有	yvn yru
随意	c;i yi
模样	mou y;j
传来	cvn loi
杂交	zap gau
眼中	jan zuj
放射	foj se
节日	zit yrt
座谈	zo tam
检察	gim cat
继承	gri sij
脾气	pei hei
神奇	srn kei
市长	si z;j
差点	ca dim
桃花	tou fa
有助于	yru zo yv
阶级	gai krp
年纪	nin gei
离子	lei zi
渴望	hot moj
天地	tin dei
有趣	yru c;i
单一	dan yrt
消耗	siu hou
生意	saj yi
颗粒	fo lrp
特价	drk ga
当今	doj grm
轻易	hij yi
辐射	fuk se
审美	srm mei
在意	zoi yi
缺点	kvt dim
糖尿病	toj niu bej
意志	yi zi
不平	brt pij
以色列	yi sik lit
放入	foj yrp
融合	yuj hrp
真诚	zrn sij
冲动	cuj duj
舒适	sv sik
高温	gou wrn
有一些	yru yrt se
活跃	wut y;k
透露	tru lou
长得	z;j drk
不易	brt yi
加重	ga zuj
精度	zij dou
美人	mei yrn
一下子	yrt ha zi
可持续发展	ho ci zuk fat zin
附属	fu suk
调动	diu duj
无比	mou bei
世上	sri s;j
一行	yrt hrj
禁止	grm zi
清理	cij lei
全民	cvn mrn
违反	wri fan
长度	c;j dou
蛋白质	dan bak zrt
全新	cvn srn
昨日	zok yrt
常用	s;j yuj
年内	nin noi
耳朵	yi do
党中央	doj zuj y;j
妈的	ma dik
补偿	bou s;j
竞争力	gij zrj lik
发达国家	fat dat xok ga
前往	cin woj
善于	sin yv
第七	dri crt
