---config@码表分类=辅码码表
---config@码表别名=笔画
---config@允许编辑=是
# d w s z p
#点横竖折撇

的	pszwwpzd
衡	ppspzszwswwpdwws
塞	ddzwwsswpdwsw
彻	ppswzzp
诚	dzwpzzpd
钻	pwwwzswszw
壤	wswdwszwszwwwsswpzpd
妙	zpwspdp
厅	wpws
缓	zzwpddpwwpzd
闭	dszwsp
渡	ddwdwpwsswzd
骂	szwszwzzw
旗	dwzppwwsswwwpd
宫	ddzszwszw
戴	wswszwswwsswpdzpd
析	wspdppws
符	pwdpwdpswsd
暖	szwwpddpwwpzd
纳	zzwszpd
蓝	wsssspwdszssw
阔	dszddwpwsszw
漠	ddwwssszwwwpd
疗	dwpdwzs
伴	psdpwws
坡	wswzpszd
彷	ppsdwzp
截	wswpsdwwwswzpd
棒	wspdwwwpdwws
仿	psdwzp
犹	pzpwpzd
挺	wswpwswzd
艰	zdzwwzpd
躺	pszwwwpsdpszszw
役	ppspzzd
悄	ddssdpszww
鼻	pszwwwszwswwps
乙	z
竞	dwdpwszwpz
圣	zdwsw
网	szpdpd
剪	dpwszwwsszp
灾	ddzdppd
藉	wsswwwspdwsswszww
障	zsdwdpwszwwws
割	ddzwwwsszwss
狂	pzpwwsw
署	szsswwswpszww
虎	swzpwzpz
姿	dwpzpdzpw
欣	ppwspzpd
珍	wwswpdppp
猫	pzpwssszwsw
践	szwswswwwzpd
跃	szwswswpwpd
矛	zdzsp
援	wswpddpwwpzd
邦	wwwpzs
弃	dwzdwps
龄	swswpdzspddzd
启	dzwpszw
裂	wpzdssdwpzpd
寄	ddzwpdwszws
拖	wswpwzsz
贴	szpdswszw
伍	pswszw
殊	wpzdpwwspd
袖	dzspdszwsw
纺	zzwdwzp
柱	wspddwwsw
池	ddwzsz
申	szwws
拜	pwwpwwwws
炸	dppdpwsww
脏	pzwwdwpwsw
朗	dzwwzdpzww
贡	wswszpd
俩	pswszpdpd
竹	pwspws
虚	swzpwzssdpw
辛	dwdpwws
墨	szdpwswwddddwsw
辞	pwsszwdwdpwws
伦	pspdpz
怒	zpwzddzdd
瓜	ppzdd
胸	pzwwpzpdzs
趋	wswswpdpzzww
填	wswwsszwwwwpd
哦	szwpwswzpd
牲	pwswpwwsw
卡	swwsd
唐	dwpzwwsszw
忆	ddsz
净	dwpzzwws
踏	szwswswszpdszww
软	wzswpzpd
怨	pzdzzdzdd
忧	ddswpzd
桩	wspddwpwsw
滴	ddwdwdpszwsszw
浓	ddwdzpzpd
埋	wswszwwsww
宁	ddzws
扇	dzwpzdwzdw
塑	dpwzsppzwwwsw
饮	pzzpzpd
驶	zzwszwpd
勉	pzszwpzzp
晓	szwwwzpwpz
渔	ddwpzszwsww
碳	wpszwszswpdppd
兼	dpwzwwsspd
吓	szwwsd
慰	zwpwwspdwsddzdd
抢	wswpdzz
审	ddzszwws
捉	wswszwswpd
绳	zzwszwszwwz
饿	pzzpwswzpd
叙	pdwwspdzd
估	pswsszw
呈	szwwwsw
闷	dszdzdd
泛	ddwpdzd
祝	dzsdszwpz
贫	pdzpszpd
疾	dwpdwpwwpd
厉	wpwzp
胆	pzwwszwww
嘛	szwdwpwspdwspd
摩	dwpwspdwspdpwws
陪	zsdwdpwszw
寂	ddzswwspdzd
扑	wswsd
邀	pszwwdwzppwpddzd
骑	zzwwpdwszws
辉	sdpwpzdzwzws
勤	wsswszwwwswzp
孤	zswppzdd
挤	wswdwpdps
谷	pdpdszw
帽	szsszwwszwww
蜂	szwswdpzdwwws
涂	ddwpdwwspd
旦	szwww
秦	wwwpdpwspd
串	szwszws
呆	szwwspd
嗯	szwszwpdwdzdd
驾	zpszwzzw
咬	szwdwpdpd
毁	pswzwwwswpzzd
孙	zswspd
庆	dwpwpd
削	sdpszwwss
拔	wswwpzdd
帐	szspwzd
伏	pswpdd
惟	ddspsdwwwsw
眉	zswpszwww
辩	dwdpwwpdzdwdpwws
抑	wswpzzs
脉	pzwwdzzpd
恰	ddspdwszw
灌	ddwwssszwszwpsdwwwsw
颇	zpszdwpszpd
苍	wsspdzz
拒	wswwzwz
棵	wspdszwwwspd
肚	pzwwwsw
稻	pwspdpddppswzww
菲	wssswwwswww
汤	ddwzpp
疯	dwpdwpzpd
仗	pswpd
剥	zwwsdwpdss
哎	szwwsspd
牧	pwswpwpd
腐	dwppswsdszpdpd
悉	pdpwspddzdd
壳	wswdzpz
炼	dppdwzzpd
剂	dwpdpsss
恨	ddszwwzpd
搭	wswwsspdwszw
炉	dppddzwp
秀	pwspdzp
签	pwdpwdpdwddpw
绪	zzwwswpszww
猪	pzpwswpszww
闲	dszwspd
井	wwps
窝	ddzpdszwszpd
撞	wswdwdpwszwwsww
匆	pzppd
宿	ddzpswpszww
愤	ddswswssszpd
晶	szwwszwwszww
滚	ddwdwpdzdpzpd
墙	wswwsdpwszszww
昏	pzwzszww
铅	pwwwzpzszw
甘	wssww
膀	pzwwdwdpdzdwzp
违	wwzsdzd
忠	szwsdzdd
戒	wwpszpd
浅	ddwwwzpd
烂	dppddpwww
猜	pzpwwswszww
扫	wswzww
沟	ddwpzzd
润	ddwdszwwsw
甜	pwsszwwssww
耕	wwwspdwwps
迁	pwsdzd
狱	pzpdzwpdd
凝	dwpzpwwpdzdzswpd
凝	dwpzpsspdzdzswpd
喷	szwwswssszpd
糊	dpwspdwsszwpzww
吐	szwwsw
姊	zpwpzsp
躲	pszwwwppzwspd
腾	pzwwdpwwpdzzw
卷	dpwwpdzz
罚	szsswdzss
敲	dwszwszszwswzd
稀	pwspdpdwpszs
振	wswwpwwzpd
贯	zzswszpd
疲	dwpdwzpszd
筋	pwdpwdpzwwzp
尝	sdpdzwwzd
瓦	wzzd
慌	ddswssdwzpsz
漂	ddwwszsswwwspd
裁	wswdwpzpdzpd
赖	wszwspdpzszpd
欠	pzpd
漫	ddwszwwszsswzd
赚	szpddpwzwwsspd
肃	zwwspspd
柴	swswpzwspd
赤	wswpspd
焦	psdwwwswdddd
荒	wssdwzpsz
丢	pwswzd
杆	wspdwws
盼	szwwwpdzp
臂	zwpszwdwdpwwsszww
臣	wszwsz
涉	ddwswswspp
聪	wsswwwdpszwdzdd
阅	dszdpszwpz
叹	szwzd
胎	pzwwzdszw
汇	ddwwz
租	pwspdszwww
胀	pzwwpwzd
膜	pzwwwssszwwwpd
仙	psszs
吉	wswszw
刊	wwsss
冠	dzwwpzwsd
慧	wwwswwwszwwdzdd
缝	zzwpzdwwwsdzd
遵	dpwszpzwwwsddzd
丧	wsdpwzpd
纤	zzwpws
峰	szspzdwwws
柔	zdzspwspd
澳	ddwpszdpwspdwpd
辈	swwwswwwwzws
驻	zzwdwwsw
哀	dwszwpzpd
弓	zwz
炮	dppdpzzwz
茫	wssddwdwz
幻	zzdz
箭	pwdpwddpwszwwss
膨	pzwwwswszwdpwppp
薪	wssdwdpwwspdppws
蜜	ddzdzdpdszwswd
椅	wspdwpdwszws
稿	pwspddwszwszszw
杨	wspdzpp
籍	pwdpwdwwwspdwsswszww
仁	psww
丛	pdpdw
症	dwpdwwswsw
碍	wpszwszwwwwsd
宾	ddzpswswpd
撤	wswdwzdszwwpwpd
醉	wszpzwwdwpdpdws
乌	pzzw
坦	wswszwww
揭	wswszwwpzpdz
敏	pwzzdwdpwpd
泳	ddwdzzpd
齿	swswpdzs
辨	dwdpwwpdpdwdpwws
伊	pszwwp
恩	szwpdwdzdd
宙	ddzszwsw
拾	wswpdwszw
篮	pwdpwdsspwdszssw
雷	wdzsddddszwsw
淀	ddwddzwswpd
纱	zzwspdp
融	wszwszdpwsszwswd
岂	szszwz
伪	psdpzd
抛	wswpzzp
肌	pzwwpz
刑	wwpsss
涌	ddwzdszwws
傅	pswszwwsdwsd
匀	pzdw
奉	wwwpdwws
肺	pzwwwszs
悬	szwwwzddzdd
耀	sdpwpzzdwzdwpsdwwwsw
韩	wsszwwwswwzs
川	pss
瘦	dwpdwpswzwwszd
盟	szwwpzwwszssw
唤	szwpzszwpd
纹	zzwdwpd
尘	spdwsw
舍	pdwwsszw
厌	wpwpdd
宅	ddzpwz
矩	pwwpdwzwz
隐	zspzzwwdzdd
鼠	pswzwwzddzddz
倘	pssdpszszw
冻	dwwzspd
歇	szwwpzpdzpzpd
燕	wsswszwswwpzdddd
骤	zzwwsswwwzdpspppd
婶	zpwddzszwws
缴	zzwpszwwdwzppwpd
铃	pwwwzpddzd
溜	ddwpzdzpszwsw
皿	szssw
笼	pwdpwdwpzpd
譬	zwpszwdwdpwwsdwwwszw
飘	wszsswwwspdpzpd
潜	ddwwwpdwwpdszww
疏	zswswdwzdpsz
祸	dzsdszwszpd
胃	szwswszww
雾	wdzsddddpzdzp
脂	pzwwpzszww
豪	dwszwdzwpzpppd
贝	szpd
卵	pzdpzsd
奴	zpwzd
恋	dwsspddzdd
钉	pwwwzws
饱	pzzpzzwz
卓	swszwwws
扰	wswwpzd
返	ppzddzd
库	dwpwzws
泰	wwwpdsdwpd
猎	pzpwsswszww
紫	swswpzzzdspd
耗	wwwspdpwwz
肠	pzwwzpp
铺	pwwwzwszwwsd
锋	pwwwzpzdwwws
碱	wpszwwpwszwzpd
叠	zdzdzddzszwww
蚀	pzzszwswd
塔	wswwsspdwszw
牵	wpddzpwws
莲	wsswzwsdzd
刷	zwpszsss
廷	pwswzd
惨	ddszdwpdppp
锅	pwwwzszwszpd
敦	dwszwzswpwpd
添	ddwwwpdsddd
蛇	szwswdddzpz
踪	szwswswddzwwspd
崇	szsddzwwspd
循	ppsppwsszwww
梯	wspddpzwzsp
瓷	dwpzpdwzzd
傲	pswwswzppwpd
捧	wswwwwpdwws
兽	dpszwswwszw
漏	ddwzwpwszsdddd
癌	dwpdwszwszwszwszs
匹	wpzz
芬	wsspdzp
魂	wwzdpszwwpzzd
舌	pwsszw
洪	ddwwsswpd
眠	szwwwzwzwz
递	dpzwzspdzd
牺	pwswwszpzw
玳	wwswpswzd
瑁	wwswszwwszwww
邮	szwswzs
骗	zzwdzwpszwss
丹	pzdw
剑	pdwddpwss
屈	zwpzsszs
托	wswpwz
衫	dzspdppp
迈	wzpdzd
锐	pwwwzdpszwpz
柜	wspdwzwz
畜	dwzzdszwsw
鸣	szwpzdzw
丁	ws
妖	zpwpwpd
泼	ddwzpzdd
奥	pszdpwspdwpd
宪	ddzpwswpz
牢	ddzpwws
誉	ddpwpddwwwszw
徐	ppspdwwspd
掩	wswwpdszwwz
涨	ddwzwzpwzd
扎	wswz
妨	zpwdwzp
嫌	zpwdpwzwwsspd
溪	ddwpddpzzdwpd
胁	pzwwzpdd
挖	wswddzpdz
巾	szs
挣	wswpzzwws
皱	pzzwwzpszd
披	wswzpszd
拼	wswdpwwps
爽	wpdpdpdpdpd
筒	pwdpwdszwszw
抖	wswddws
扯	wswswsw
拨	wswzpzdd
鸦	wzsppzdzw
傻	pspszpdwpdpzd
锦	pwwwzpszwwszs
塘	wswdwpzwwsszw
岭	szspddzd
筹	pwdpwdwwwpwsd
赔	szpddwdpwszw
弧	zwzppzdd
寸	wsd
愁	pwspddppddzdd
株	wspdpwwspd
浸	ddwzwwdzzd
腔	pzwwddzpdwsw
览	sspwdszpz
郊	dwpdpdzs
锁	pwwwzsdpszpd
储	psdzwswpszww
吵	szwspdp
晋	wssdpwszww
偿	pssdpdzwwzd
恼	ddsdwpdzs
扶	wswwwpd
滋	ddwdpwzzdzzd
痕	dwpdwzwwzpd
纽	zzwzsww
悠	psspwpddzdd
睁	szwwwpzzwws
嫁	zpwddzwpzpppd
募	wssszwwwpdzp
吴	szwwwpd
扮	wswpdzp
沉	ddwdzpz
漆	ddwwspdpdsdwpd
译	dzzdwws
亏	wwz
趁	wswswpdpdppp
喉	szwpszwpwwpd
庙	dwpszwsw
巩	wswpzd
吞	wwpdszw
熊	zdszwwpzpzdddd
逢	pzdwwwsdzd
哼	szwdwszwzs
摘	wswdwdpszwsszw
矮	pwwpdpwspdzpw
砂	wpszwspdp
综	zzwddzwwspd
肢	pzwwwszd
舅	pswzwwszwswzp
艘	ppzdwdpswzwwszd
酬	wszpzwwdpdsds
奈	wpdwwspd
炎	dppddppd
锥	pwwwzpsdwwwsw
倡	psszwwszww
仓	pdzz
侨	pspwpdps
慈	dpwzzdzzddzdd
戚	wpswwspdzpd
晒	szwwwszpzw
脾	pzwwpszwwpws
隆	zspzdwpwwsw
允	zdpz
掷	wswdpwwpdzs
阁	dszpzdszw
黎	pwspdpzppdsdwpd
廉	dwpdpwzwwsspd
恒	ddswszwww
橡	wspdpzszwpzpppd
裤	dzspddwpwzws
叛	dpwwpppzd
幽	szzdzzdzs
纠	zzwzs
翅	wszdzdwzdw
址	wswswsw
挽	wswpzszwpz
贤	sszdszpd
轰	wzwszdzd
鹅	pwswzpdpzdzw
伐	pswzpd
嚷	szwdwszwszwwwsswpzpd
扣	wswszw
欺	wsswwwpdpzpd
洛	ddwpzdszw
硫	wpszwdwzdpsz
络	zzwpzdszw
遮	dwpwsswdddddzd
脊	dwpdpdszww
庞	dwpwpzpd
呵	szwwszws
翼	zdwzdwszwswwsswpd
蓄	wssdwzzdszwsw
衰	dwszwwpzpd
贼	szpdwwpzpd
婴	szpdszpdzpw
拆	wswppwsd
沸	ddwzwzps
辅	wzswwszwwsd
挨	wswzdpwwpd
翁	pdzdzdwzdw
萄	wsspzpwwszs
葡	wsspzwszwwsd
袭	wpzpddwpzpd
辑	wzswszwwsswww
蒋	wssdwspzdwsd
朴	wspdsd
荡	wssddwzpp
驼	zzwddzpz
狠	pzpzwwzpd
盒	pdwszwszssw
遂	dpwpzpppddzd
雀	spdpsdwwwsw
倦	psdpwwpdzz
匠	wppwsz
峡	szswdpwpd
滩	ddwzdpsdwwwsw
询	dzpzszww
栽	wswwspdzpd
糟	dpwspdwszwsswszww
脆	pzwwpzwpzz
轨	wzswpz
厦	wpwpszwwwpzd
摔	wswdwzzddwpdws
咐	szwpswsd
寿	wwwpwsd
撒	wswwsswszwwpwpd
卧	wszwszsd
辽	zsdzd
坑	wswdwpz
尸	zwp
桶	wspdzdszwws
蓬	wsspzdwwwsdzd
雕	pzwswszwpsdwwwsw
勿	pzpp
鸭	szwwspzdzw
懒	ddswszwspdpzszpd
煮	wswpszwwdddd
狭	pzpwdpwpd
猿	pzpwswszwpzpd
盗	dwpzpdszssw
键	pwwwzzwwwwszd
驱	zzwwpdz
晴	szwwwwswszww
暑	szwwwswpszww
疼	dwpdwpzddd
芦	wssdzwp
烛	dppdszwswd
苗	wssszwsw
谊	dzddzszwww
郎	dzwwzdzs
钓	pwwwzpzd
刘	dwpdss
慎	ddswsszwwwwpd
赴	wswswpdsd
隶	zwwsdwpd
魏	pwspdzpwpszwwpzzd
堪	wswwsswwwpdz
斑	wwswdwpdwwsw
浑	ddwdzwzws
燥	dppdszwszwszwwspd
蔬	wsszswswdwzdpsz
儒	pswdzsddddwpszss
抹	wswwwspd
遥	pddppwwszsdzd
慕	wssszwwwpdsddd
枯	wspdwsszw
杰	wspddddd
昂	szwwpzzs
兔	pzszwpzd
斥	ppwsd
娃	zpwwswwsw
嫩	zpwwszwspdpwpd
厨	wpwszwdpwwsd
拘	wswpzszw
滥	ddwsspwdszssw
滤	ddwswzpwzdzdd
凶	pdzs
桃	wspdpdwzpd
瞎	szwwwddzwwwsszw
魔	dwpwspdwspdpszwwpzzd
俺	pswpdszwwz
惧	ddsszwwwwpd
讥	dzpz
颤	dwszszwwszwwwwpszpd
仇	pspz
妥	pddpzpw
娱	zpwszwwwpd
弦	zwzdwzzd
铝	pwwwzszwszw
攀	wspdpdpdwspdwpdpwws
晃	szwwsdpwpz
秤	pwspdwdpws
秩	pwspdpwwpd
腊	pzwwwsswszww
芽	wsswzsp
郑	dpwwpdzs
陶	zspzpwwszs
刮	pwsszwss
嘻	szwwswszwdpwszw
罩	szsswswszwwws
臭	pszwwwwpdd
诊	dzpdppp
宴	ddzszwwzpw
挡	wswsdpzww
肝	pzwwwws
艇	ppzdwdpwswzd
舰	ppzdwdszpz
亭	dwszwdzws
吨	szwwzsz
岗	szsszpd
悟	ddswszwszw
蜡	szwswdwsswszww
泉	pszwwszpd
浴	ddwpdpdszw
溉	ddwzwwzdwzpz
钞	pwwwzspdp
扭	wswzsww
携	wswpsdwwwswzp
姻	zpwszwpdw
氛	pwwzpdzp
爵	pddpszsswzwwzdwsd
赢	dwzszwpzwwszpdpzd
埃	wswzdpwwpd
毅	dwdpwpzpppdpzzd
渴	ddwszwwpzpdz
浆	dwspzdszpd
狼	pzpdzwwzpd
猴	pzppszwpwwpd
罐	pwwszswssszwszwpsdwwwsw
贷	pswzdszpd
雅	wzsppsdwwwsw
债	pswwswszpd
咽	szwszwpdw
喘	szwszswpszss
昌	szwwszww
炭	szswpdppd
绑	zzwwwwpzs
葬	wsswpzdpzwps
董	wsspwszwwsww
酷	wszpzwwpwswszw
旨	pzszww
栏	wspddpwww
津	ddwzwwwws
骆	zzwpzdszw
恳	zwwzpddzdd
亩	dwszwsw
诞	dzpswzzd
遣	szwswszwzwdzd
鲁	pzszwswwszww
哇	szwwswwsw
碟	wpszwwsswzwspd
纲	zzwszpd
裹	dwszwwwspdpzpd
饼	pzzdpwwps
骄	zzwpwpdps
拳	dpwwpdpwws
摧	wswszspsdwwwsw
顽	wwpzwpszpd
悔	ddspwzzdwd
抚	wswwwpz
搅	wswddpdzszpz
淋	ddwwspdwspd
缠	zzwdwpszwwsww
胖	pzwwdpwws
衬	dzspdwsd
捷	wswwzwwswpd
碧	wwswpszwwwpszw
羽	zdwzdw
辟	zwpszwdwdpwws
傍	psdwdpdzdwzp
廊	dwpdzwwzdzs
悦	ddsdpszwpz
拟	wswzdpd
柳	wspdpzpzs
爹	pdpdpzdpzd
蕉	wsspsdwwwswdddd
蛙	szwswdwswwsw
夸	wpdwwz
辱	wpwwzpdwsd
逗	wszwdpwdzd
乳	pddpzswz
押	wswszwws
轿	wzswpwpdps
黏	pwspdpdsdwpdswszw
玲	wwswpddzd
盲	dwzszwww
赌	szpdwswpszww
跪	szwswswpzwpzz
唉	szwzdpwwpd
夕	pzd
腹	pzwwpwszwwpzd
蚕	wwpdszwswd
裳	sdpdzszwdwpzpd
赠	szpddpszsdpwszww
丑	zsww
凑	dwwwwpdwwpd
颈	zdwswwpszpd
侯	pszwpwwpd
勒	wsswszwwszp
媳	zpwpszwwwdzdd
掀	wswppwspzpd
柏	wspdpszww
汪	ddwwwsw
趟	wswswpdsdpszszw
蹲	szwswswdpwszpzwwwsd
卑	pszwwpws
吩	szwpdzp
噢	szwpszdpwspdwpd
喂	szwszwswwzpd
孕	zpzsw
宵	ddzsdpszww
旱	szwwwws
曼	szwwszsswzd
挫	wswpdpdwsw
旺	szwwwwsw
榜	wspddwdpdzdwzp
氯	pwwzzwwsdwpd
逆	dpwzspdzd
皂	pszwwwz
膝	pzwwwspdpdsdwpd
吏	wszwpd
碌	wpszwzwwsdwpd
钩	pwwwzpzzd
勃	wsdzzswzp
堡	psszwwspdwsw
寞	ddzwssszwwwpd
稼	pwspdddzwpzpppd
舱	ppzdwdpdzz
誓	wswppwsdwwwszw
劫	wswzdzp
啥	szwpdwwsszw
惑	wszwwzpddzdd
拢	wswwpzpd
洒	ddwwszpzw
窄	ddzpdpwsww
隋	zswpwswszww
霸	wdzsddddwsswszwwspzww
俱	psszwwwwpd
圾	wswpzd
枚	wspdpwpd
胚	pzwwwpsdw
跨	szwswswwpdwwz
霞	wdzsddddzwswwzwzd
伞	pddpws
畅	szwwszpp
歼	wpzdpws
苹	wsswdpws
驰	zzwzsz
孟	zswszssw
扔	wswzp
搁	wswdszpzdszw
笨	pwdpwdwspdw
茹	wsszpwszw
谅	dzdwszwspd
僧	psdpszsdpwszww
茎	wsszdwsw
鉴	sspwdpdwwsdpw
顷	wzwpszpd
鳞	pzszwswwdpwspdpzdwzs
哟	szwzzwpzd
蹈	szwswswpddppswzww
丘	pswsw
侦	psswszpd
勾	pzzd
垒	zdzdzdwsw
滨	ddwddzpswswpd
聊	wsswwwpzpzs
脖	pzwwwsdzzsw
陌	zswpszww
隙	zsspdszwwspd
哗	szwpspzws
宦	ddzwszwsz
拱	wswwsswpd
昆	szwwwzpz
御	ppspwwswswzs
掏	wswpzpwwszs
梅	wspdpwzzdwd
疆	zwzwswwszwswwszwsww
催	psszspsdwwwsw
寺	wswwsd
祥	dzsddpwwws
纬	zzwwwzs
肪	pzwwdwzp
耻	wsswwwswsw
愚	szwwszswddzdd
惹	wsswpszwdzdd
摊	wswzdpsdwwwsw
泌	ddwdzdpd
羞	dpwwwpzsww
蚁	szwswddpd
谨	dzwsswszwwwsw
邱	pswswzs
饥	pzzpz
佩	pspzwszs
巡	zzzdzd
吊	szwszs
棍	wspdszwwwzpz
棚	wspdpzwwpzww
歪	wpsdwswsw
畏	szwswwzpd
筝	pwdpwdpzzwws
缚	zzwwszwwsdwsd
诱	dzpwspdzp
辐	wzswwszwszwsw
匙	szwwwswpdpz
壶	wswdzssdpw
寓	ddzszwwszswd
捏	wswszwwwsw
撑	wswsdpdzszwpwws
玛	wwswzzw
吻	szwpzpp
拦	wswdpwww
渠	ddwwzwzwspd
焊	dppdszwwwws
灿	dppdszs
萨	wsszsdwdpwp
券	dpwwpdzp
娶	wsswwwzdzpw
慨	ddszwwzdwzpz
拣	wswwzzpd
槽	wspdwszwsswszww
氮	pwwzdppddppd
砍	wpszwpzpd
谣	dzpddppwwszs
闯	dszzzw
厮	wpwsswwwpdppws
朱	pwwspd
瑞	wwswszswpszss
盏	wwzpdszssw
窃	ddzpdwzzp
腺	pzwwpszwwszpd
郡	zwwpszwzs
饲	pzzzwszw
乞	pwz
咳	szwdwzppd
帕	szspszww
汁	ddwws
泽	ddwzdwws
芒	wssdwz
荃	wsspdwwsw
驳	zzwpdpd
丙	wszpd
兑	dpszwpz
恭	wsswpdsddd
拓	wswwpszw
沃	ddwpwpd
炕	dppddwpz
耍	wpszsszpw
蝶	szwswdwsswzwspd
桑	zdzdzdwspd
瞪	szwwwzdppdwszwdpw
蝇	szwswdszwszwwz
詹	pzwppddwwwszw
冤	dzpzszwpzd
殷	ppzwwzpzzd
渗	ddwzdwpdppp
帘	ddzpdszs
糕	dpwspddpwwswdddd
钠	pwwwzszpd
歉	dpwzwwsspdpzpd
碑	wpszwpszwwpws
鞭	wsswszwwspswszwwpd
鲸	pzszwswwdwszwspd
凳	zdppdwszwdpwpz
咙	szwwpzpd
巢	zzzszwwwspd
巷	wsswpdzwz
抄	wswspdp
焰	dppdpzpswzww
盈	zpzdszssw
簧	pwdpwdwsswszwswpd
贪	pddzszpd
躯	pszwwwpwpdz
唔	szwwszwszw
惩	ppswswswdzdd
铸	pwwwzwwwpwsd
幂	dzszwwwpdszs
吼	szwzswz
娜	zpwzwwpzs
扁	dzwpszwss
晰	szwwwspdppws
趾	szwswswswsw
锻	pwwwzpswwwpzzd
屡	zwpdpwspdzpw
拚	wswzdwps
捞	wswwssdzzp
杜	wspdwsw
柄	wspdwszpd
棋	wspdwsswwwpd
殿	zwpwsswpdpzzd
凄	dwwzwwszpw
竖	sszddwdpw
侍	pswswwsd
娇	zpwpwpdps
搏	wswwszwwsdwsd
浊	ddwszwswd
笛	pwdpwdszwsw
莱	wsswdpwspd
贩	szpdppzd
媒	zpwwsswwwspd
掘	wswzwpzsszs
祭	pzddzdwwspd
谦	dzdpwzwwsspd
踢	szwswswszwwpzpp
陵	zswswpdpzd
嗓	szwzdzdzdwspd
堵	wswwswpszww
愧	ddspszwwpzzd
竭	dwdpwszwwpzpdz
贺	zpszwszpd
逸	pzszwpzddzd
俯	psdwppswsd
凌	dwwswpdpzd
熄	dppdpszwwwdzdd
赋	szpdwwswswzd
咧	szwwpzdss
哨	szwsdpszww
唇	wpwwzpdszw
妄	dwzzpw
姨	zpwwzwzpd
兹	dpwzzdzzd
逊	zswspddzd
啡	szwswwwswww
撕	wswwsswwwpdppws
泊	ddwpszww
蔽	wssdpszspdpwpd
蚂	szwswdzzw
迪	szwswdzd
逝	wswppwsdzd
橘	wspdzdzspszpdszw
霜	wdzsddddwspdszwww
侮	pspwzzdwd
呎	szwzwpd
掠	wswdwszwspd
渺	ddwszwwwspdp
芳	wssdwzp
袁	wswszwpzpd
裸	dzspdszwwwspd
醋	wszpzwwwsswszww
刹	pdwspdss
埔	wswwszwwsd
尿	zwpszpd
熔	dppdddzpdpdszw
辫	dwdpwwpzzwdwdpwws
葵	wsszdppdwwpd
蚊	szwswddwpd
堤	wswszwwwswpd
惠	wszwwswddzdd
枕	wspddzpz
淘	ddwpzpwwszs
溃	ddwszwswszpd
颠	wsszwwwwpdwpszpd
麓	wspdwspddwpzsswwzpz
姆	zpwzzdwd
宰	ddzdwdpwws
寡	ddzwpszwwwpdzp
煌	dppdpszwwwwsw
磅	wpszwdwdpdzdwzp
禅	dzsddpszwwws
禹	pszwszswd
钙	pwwwzwswz
鳍	pzszwswwwswppzszww
倚	pswpdwszws
叉	zdd
尉	zwpwwspdwsd
晕	szwwdzwzws
玄	dwzzd
砖	wpszwwwzd
蝴	szwswdwsszwpzww
谱	dzdpwssdpwszww
乒	pswswp
宏	ddzwpzd
框	wspdwwwswz
艳	wwwspzzswz
蜢	szwswdzswszssw
裕	dzspdpdpdszw
屁	zwpwzpz
曝	szwwszwwwsswpdsdwpd
粪	dpwspdwsswpd
莎	wssddwspdp
虾	szwswdwsd
呜	szwpzzw
崩	szspzwwpzww
澡	ddwszwszwszwwspd
烤	dppdwswpwz
簿	pwdpwdddwwszwwsdwsd
锡	pwwwzszwwpzpp
乓	pswswd
咸	wpwszwzpd
喻	szwpdwszwwss
嘉	wswszwdpwzpszw
妮	zpwzwppz
窑	ddzpdpwwszs
绵	zzwpszwwszs
蝗	szwswdpszwwwwsw
涛	ddwwwwpwsd
疫	dwpdwpzzd
蜗	szwswdszwszpd
袍	dzspdpzzwz
裙	dzspdzwwpszw
凿	ssdpwdpwwszs
仆	pssd
啼	szwdwdpdzszs
捐	wswszwszww
箔	pwdpwdddwpszww
肿	pzwwszws
苇	wsswwzs
蛮	dwsspdszwswd
诵	dzzdszwws
霉	wdzsddddpwzzdwd
仟	pspws
凯	szszwzpz
咖	szwzpszw
嘱	szwzwppszwszswd
垫	wswpzdwsw
帆	szspzd
庚	dwpzwwpd
沾	ddwswszw
盯	szwwwws
赐	szpdszwwpzpp
赵	wswswpdpd
邪	wzspzs
丫	dps
尧	wzpwpz
塌	wswszwwzdwzdw
歧	swswwszd
粹	dpwspddwpdpdws
踩	szwswswpddpwspd
坊	wswdwzp
垃	wswdwdpw
涯	ddwwpwswwsw
淹	ddwwpdszwwz
秧	pwspdszwpd
腕	pzwwddzpzdzz
谍	dzwsswzwspd
赫	wswpspdwswpspd
链	pwwwzwzwsdzd
阀	dszpswzpd
骰	szzdzszwwpzzd
雇	dzwppsdwwwsw
咕	szwwsszw
屏	zwpdpwwps
屑	zwpsdpszww
甸	pzszwsw
矣	zdpwwpd
耸	pdpdwsswww
贾	wszsswszpd
俘	pspddpzsw
冶	dwzdszw
坟	wswdwpd
曹	wszwsswszww
澄	ddwzdppdwszwdpw
爪	ppsd
耶	wsswwwzs
舟	ppzdwd
贱	szpdwwzpd
逛	pzpwwswdzd
酱	dwspzdwszpzww
嘲	szwwsszwwwspzww
梳	wspddwzdpsz
梨	pwspdsswspd
氨	pwwzddzzpw
浩	ddwpwswszw
藩	wssddwpdpwspdszwsw
豁	ddzwwwsszwpdpdszw
卅	wpss
憾	ddswpwszwzpddzdd
渊	ddwpdpwspds
舜	pddpdzpzdwzs
艾	wsspd
馏	pzzpzdzpszwsw
驴	zzwdzwp
郁	wpszwwzs
吋	szwwsd
旬	pzszww
梢	wspdsdpszww
哄	szwwsswpd
嘿	szwszdpwswwdddd
庸	dwpzwwszwws
杠	wspdwsw
