一下	yi xx
休止符	xq vi fu
众擎易举	vs qk yi ju
众议员	vs yi yr
众议院	vs yi yr
优于	yz yu
优先权	yz xm qr
优哉游哉	yz zd yz zd
优异	yz yi
优待	yz dd
优抚	yz fu
优派	yz pd
优游	yz yz
优生	yz ug
优生优育	yz ug yz yu
优育	yz yu
优胜	yz ug
优胜者	yz ug ve
优裕	yz yu
优越性	yz yt xk
优越感	yz yt gj
优选	yz xr
伙头	ho tz
伙食费	ho ui fw
会上	hv uh
会会	hv hv
会会	hv kk
会会	kk hv
会会	kk kk
会刊	hv kj
会务	hv wu
会友	hv yz
会合	hv he
会员国	hv yr go
会员证	hv yr vg
会址	hv vi
会客室	hv ke ui
会师	hv ui
会心	hv xb
会意	hv yi
会战	hv vj
会操	hv cc
会旗	hv qi
会期	hv qi
会标	hv bn
会演	hv yj
会理	hv li
会理	kk li
会社	hv ue
会社	kk ue
会聚	hv ju
会计师	kk ji ui
会议室	hv yi ui
会议桌	hv yi vo
会议桌	kk yi vo
会长	hv ih
会长	hv vh
会风	hv fg
伛偻	yu lv
伛偻	yu lz
伟人	ww rf
伟力	ww li
伟男	ww nj
伟绩	ww ji
传动	ir ds
传家宝	ir jx bc
传导	ir dc
传感器	ir gj qi
传染病	ir rj bk
传略	vr lt
传票	ir pn
传记	vr ji
传诵	ir ss
传达室	ir da ui
传送带	ir ss dd
传阅	ir yt
传颂	ir ss
伤亡	uh wh
伤兵	uh bk
伤势	uh ui
伤及	uh ji
伤害	uh hd
伤残人	uh cj rf
伤病员	uh bk yr
伤筋动骨	uh jb ds gu
伦巴	ly ba
伦理学	ly li xt
伪币	ww bi
伪证	ww vg
伫立	vu li
伯仲	bo vs
伯娘	bd nl
伯娘	bo nl
伯父	bo fu
伯爷	bd ye
伯爷	bo ye
伯爷公	bd ye gs
伯爷公	bo ye gs
估价	gu jx
伴月	bj yt
伶俐	lk li
伸曲	uf qu
伸长	uf ih
伺候	ci hz
伺机	si ji
似是	ui ui
似模似样	ui mo ui yh
似模似样	ui mu ui yh
似水流年	ui uv lq nm
似的	ui de
伽利略	jx li lt
伾伾	pi pi
但又	dj yz
位居	ww ju
位移	ww yi
低下	di xx
低产	di ij
低产田	di ij tm
低压	di ya
低回	di hv
低威	di ww
低年级	di nm ji
低微	di ww
低效	di xn
低波	di bo
低端	di dr
低胸	di xs
低腰	di yc
低谷	di gu
低贱	di jm
住地	vu di
住宅区	vu vd qu
住家工	vu jx gs
住家男人	vu jx nj rf
住手	vu uz
住持	vu ii
住院	vu yr
佐证	zo vg
体例	ti li
体协	ti xp
体型	ti xk
体委	ti ww
体式	ti ui
体形	ti xk
体彩	ti cd
体罚	ti fa
体育课	ti yu ke
体表	ti bn
体裁	ti cd
何妨	he fh
何尝	he ih
何许	he xu
佗佗拧	to to nk
佗衰家	to uk jx
余力	yu li
余年	yu nm
余粮	yu ll
余音	yu yb
余韵	yu yy
佛教徒	fo jn tu
佛罗里达	fo lo li da
佛都有火	fo du yz ho
佛都有火	fo dz yz ho
佛都有火	fu du yz ho
佛都有火	fu dz yz ho
作东	zo ds
作主	zo vu
作价	zo jx
作假	zo jx
作到	zo dc
作协	zo xp
作大	zo da
作大	zo dd
作成	zo ig
作曲家	zo qu jx
作法	zo fa
作用力	zo ys li
你一言	ni yi yj
你哋	ni di
佢哋	ko di
佢哋	qu di
佣兵	ys bk
佩剑	pw jm
佩带	pw dd
佳丽	jx li
佳人	jx rf
佳句	jx ju
佳品	jx pb
佳境	jx jk
佳期	jx qi
佳绩	jx ji
佳节	jx jp
佳话	jx hx
佼佼者	jn jn ve
使之	ui vi
使乜	ui mp
使乜	ui np
使乜讲	ui mp jl
使乜讲	ui np jl
使人	ui rf
使徒	ui tu
使用权	ui ys qr
使节	ui jp
侁侁	uf uf
侃侃	kj kj
例举	li ju
例会	li hv
例汤	li th
例程	li ig
例行	li xk
例行公事	li xk gs ui
例证	li vg
例题	li ti
侍候	ui hz
侍奉	ui fg
侏儒	vu ru
侘傺	ia ii
供书教学	gs uu jn xt
供品	gs pb
供应量	gs yk ll
供稿	gs gc
供给	gs ji
供认	gs rf
供销	gs xn
供销社	gs xn ue
供需	gs xu
依仗	yi vh
依依惜别	yi yi xi bp
依倚	yi yi
依存	yi cy
依山傍水	yi uj bh uv
依次	yi ci
依违	yi ww
依附	yi fu
侠客	xx ke
侦察兵	vf ia bk
侦察员	vf ia yr
侦察机	vf ia ji
侧侧膊	ce ce bo
侧侧膊	ce vd bo
侧侧膊	ce zd bo
侧侧膊	vd ce bo
侧侧膊	vd vd bo
侧侧膊	vd zd bo
侧侧膊	zd ce bo
侧侧膊	zd vd bo
侧侧膊	zd zd bo
侧重点	ce vs dm
侨乡	qn xl
侨兴	qn xk
侨务	qn wu
侨商	qn uh
侨属	qn uu
侨汇	qn hv
侨界	qn jp
侨眷	qn jr
侵略者	qb lt ve
侵蚀	qb ui
便娟	bm jr
便娟	pm jr
便携	bm xp
便携	pm xp
便携式	bm xp ui
便服	bm fu
便衣	bm yi
便道	bm dc
促织	cu vi
促进会	cu jb hv
俄亥俄	ee hd ee
俄勒冈	ee le gh
俄勒冈	ee lw gh
俄国	ee go
俄语	ee yu
俏媚	qn mw
俏货	qn ho
俗名	su mk
俗话说	su hx uo
俘获	fu ho
俚语	li yu
保住	bc vu
保值	bc vi
保守党	bc uz dh
保守派	bc uz pd
保密性	bc mi xk
保护伞	bc hu sj
保时捷	bc ui jp
保有	bc yz
保温瓶	bc wf pk
保皇派	bc hl pd
保监会	bc jm hv
保监会	bc jm kk
保票	bc pn
保管员	bc gr yr
保育员	bc yu yr
保育院	bc yu yr
保苗	bc mn
保荐	bc jm
保证书	bc vg uu
保送	bc ss
保释	bc ui
保量	bc ll
保镖	bc bn
保险柜	bc xm gv
保险箱	bc xm xl
保驾	bc jx
保鲜	bc xm
信义	xb yi
信件	xb jm
信任感	xb rf gj
信使	xb ui
信号弹	xb hc dj
信号灯	xb hc dg
信天游	xb tm yz
信奉	xb fg
信守	xb uz
信心百倍	xb xb bd bw
信念	xb nm
信息量	xb xi ll
信手	xb uz
信教	xb jn
信条	xb tn
信用卡	xb ys ka
信用社	xb ys ue
信笔	xb bi
信笺	xb jm
信誓	xb ui
信访	xb fh
信贷员	xb dd yr
信赏必罚	xb uh bi fa
信阳	xb yh
信马由缰	xb ma yz jl
俣俣	yu yu
俭可养廉	jm ke yh lm
俭朴	jm pu
修剪	xq jm
修定	xq dk
修整	xq vg
修旧利废	xq jq li fw
修正主义	xq vg vu yi
修水	xq uv
修理业	xq li ye
修理厂	xq li ih
修葺	xq qi
修身洁行	xq uf jp hh
修身洁行	xq uf jp xk
修道院	xq dc yr
俯仰	fu yh
俯仰之间	fu yh vi jm
俯拾即是	fu ui ji ui
俯拾皆市	fu ui jp ui
俯瞰	fu kj
俯视	fu ui
俯首听命	fu uz tk mk
俺们	an mf
俾倪	bi ni
倍受	bw uz
倍数	bw uu
倏地	uu di
倏忽	uu hu
倒伏	dc fu
倒汗水	dc hj uv
倒泻	dc xp
倒泻箩蟹	dc xp lo xp
倒班	dc bj
倒立	dc li
倒米	dc mi
倒置	dc vi
倔头巷	jt tz hh
倔头巷	jt tz xl
倔头路	jt tz lu
倔擂槌	jt lw iv
倔犟	jt jl
倘能	th ng
候机室	hz ji ui
候车室	hz ie ui
候选人	hz xr rf
候镬	hz ho
候驾	hz jx
倚仗	yi vh
倚势凌人	yi ui lk rf
倚天	yi tm
借一借	jp yi jp
借以	jp yi
借古喻今	jp gu yu jb
借咗聋耳陈只耳	jp zo ls er if vi er
借啲意	jp di yi
借据	jp ju
借支	jp vi
借故	jp gu
借机	jp ji
借歪	jp wd
借箸代筹	jp vu dd iz
借读	jp du
借调	jp dn
借贷	jp dd
借道	jp dc
倡议书	ih yi uu
倥偬	ks zs
债券	vd qr
债务人	vd wu rf
债权人	vd qr rf
值勤	vi qb
值日	vi ri
值此	vi ci
值班室	vi bj ui
值钱	vi qm
倾倒	qk dc
倾向性	qk xl xk
倾心	qk xb
倾心吐胆	qk xb tu dj
倾泄	qk xp
倾注	qk vu
倾泻	qk xp
倾耳注目	qk er vu mu
倾耳而听	qk er er tk
倾覆	qk fu
倾角	qk jn
偃蹇	yj jm
假作	jx zo
假使	jx ui
假借	jx jp
假假地	jx jx de
假假地	jx jx di
假大空	jx da ks
假如	jx ru
假想	jx xl
假戏	jx xi
假手于人	jx uz yu rf
假扮	jx bj
假牙	jx ya
假痴不癫	jx ii bu dm
假肢	jx vi
假药	jx yc
假证	jx vg
假象	jx xl
假账	jx vh
假货	jx ho
假途灭虢	jx tu mp go
假释	jx ui
偏听偏信	pm tk pm xb
偏好	pm hc
偏废	pm fw
偏瘫	pm tj
偓佺	wo qr
偓促	wo cu
做七	zo qi
做世界	zo ui jp
做为	zo ww
做乜	zo mp
做乜	zo np
做人世	zo rf ui
做低	zo di
做假	zo jx
做出	zo iu
做功	zo gs
做嘢	zo ye
做客	zo ke
做活	zo ho
做生不如做熟	zo ug bu ru zo uu
做生不如做熟	zo ug bu ru zo uz
做绝	zo jt
做账	zo vh
做鬼做马	zo gv zo ma
停办	tk bj
停息	tk xi
停机坪	tk ji pk
停歇	tk xp
停滞	tk vi
停职	tk vi
停航	tk hh
停课	tk ke
健身房	jm uf fh
偲偲	si si
偷人	tz rf
偷腥	tz xk
偷运	tz yy
偷鸡唔到蚀楂米	tz ji wu dc ui ia mi
偷鸡唔到蚀楂米	tz ji wu dc ui va mi
傥荡	th dh
储值票	iu vi pn
储户	iu hu
储蓄所	iu xu so
储藏室	iu ch ui
储藏量	iu ch ll
傲人	ao rf
傲游	ao yz
傲然矗立	ao rj iu li
傲睨万物	ao ni wj wu
傻下傻下	ua xx ua xx
傻事	ua ui
傻傻更更	ua ua gg gg
傻气	ua qi
像片	xl pm
像章	xl vh
僵化	jl hx
僵死	jl si
僻价	pi jp
僻价	pi jx
儒将	ru jl
儒教	ru jn
兀自	wu zi
元件	yr jm
元曲	yr qu
充气	is qi
充盈	is yk
充饥	is ji
先人	xm rf
先公后私	xm gs hz si
先哲	xm ve
先嗰排	xm ge pd
先声	xm ug
先天下之忧而忧后天下之乐而乐	xm tm xx vi yz er yz hz tm xx vi le er le
先天下之忧而忧后天下之乐而乐	xm tm xx vi yz er yz hz tm xx vi le er yt
先天下之忧而忧后天下之乐而乐	xm tm xx vi yz er yz hz tm xx vi yt er le
先天下之忧而忧后天下之乐而乐	xm tm xx vi yz er yz hz tm xx vi yt er yt
先导	xm dc
先手	xm uz
先是	xm ui
先期	xm qi
先河	xm he
先知	xm vi
先行	xm xk
先行者	xm xk ve
先贤	xm xm
先进性	xm jb xk
先遣	xm qm
先遣队	xm qm dv
先锋队	xm fg dv
先驱者	xm qu ve
光华	gl hx
光合作用	gl he zo ys
光大	gl da
光彩夺目	gl cd do mu
光明灿烂	gl mk cj lj
光暗掣	gl an ie
光栅	gl uj
光波	gl bo
光洁	gl jp
光热	gl re
光焰	gl yj
光电子	gl dm zi
光纤	gl xm
光绪	gl xu
光脱脱	gl to to
光荣榜	gl rs bh
光趟	gl th
光辉灿烂	gl hv cj lj
光风霁月	gl fg ji yt
克戟	ke ji
克扣	ke kz
克林顿	ke lb dy
克雷	ke lw
免职	mm vi
兑付	dv fu
兑换券	dv hr qr
党中央	dh vs yh
党产	dh ij
党代表	dh dd bn
党刊	dh kj
党务	dh wu
党史	dh ui
党团	dh tr
党团员	dh tr yr
党委会	dh ww hv
党小组	dh xn zu
党性	dh xk
党总支	dh zs vi
党报	dh bc
党支部	dh vi bu
党政军	dh vg jy
党旗	dh qi
党禁	dh jb
党籍	dh ji
党纪	dh ji
党纪国法	dh ji go fa
党组织	dh zu vi
党群	dh qy
党规	dh gv
党锢	dh gu
党阀	dh fa
党风	dh fg
党龄	dh lk
兜鍪	dz mz
入世	ru ui
入主	ru vu
入便	ru bm
入便	ru pm
入冬	ru ds
入团	ru tr
入土	ru tu
入场券	ru ih qr
入墙柜	ru ql gv
入墙柜	ru ql ju
入夏	ru xx
入夜	ru ye
入学	ru xt
入息	ru xi
入托	ru to
入时	ru ui
入狱	ru yu
入画	ru hx
入神	ru uf
入肉	ru rz
入魔	ru mo
全乡	qr xl
全书	qr uu
全优	qr yz
全党	qr dh
全力	qr li
全区	qr ou
全区	qr qu
全厂	qr ih
全国性	qr go xk
全境	qr jk
全天候	qr tm hz
全套	qr tc
全家福	qr jx fu
全州	qr vz
全市	qr ui
全托	qr to
全数	qr uu
全日制	qr ri vi
全歼	qr jm
全球性	qr qq xk
全盛	qr ug
全程	qr ig
全线	qr xm
全路	qr lu
全身心	qr uf xb
全运会	qr yy hv
全长	qr ih
全集	qr ji
全靠	qr kc
八卦掌	ba gx vh
八方支援	ba fh vi yr
八旗	ba qi
八路军	ba lu jy
公事	gs ui
公仔书	gs zd uu
公仔书	gs zi uu
公使	gs ui
公信	gs xb
公元	gs yr
公公	gs gs
公公婆婆	gs gs po po
公共场所	gs gs ih so
公决	gs jt
公判	gs pj
公历	gs li
公器	gs qi
公国	gs go
公婆	gs po
公子	gs zi
公审	gs uf
公开信	gs kd xb
公开赛	gs kd sd
公式化	gs ui hx
公心	gs xb
公愤	gs ff
公房	gs fh
公才公望	gs cd gs wh
公报	gs bc
公敌	gs di
公有	gs yz
公有制	gs yz vi
公检法	gs jm fa
公民权	gs mb qr
公海	gs hd
公物	gs wu
公理	gs li
公益金	gs yi jb
公示	gs ui
公私	gs si
公积金	gs ji jb
公粮	gs ll
公认	gs rf
公证	gs vg
公诉人	gs su rf
公路桥	gs lu qn
公馆	gs gr
公鸡	gs ji
六书	lq uu
六亲无靠	lq qb wu kc
六月飞霜	lq yt fw ul
六月飞霜	lu yt fw ul
六畜	lq iu
兰州市	lj vz ui
共事	gs ui
共产党人	gs ij dh rf
共同体	gs ts ti
共和	gs he
共和党	gs he dh
共度	gs du
共推	gs tv
共渡	gs du
共生	gs ug
共用	gs ys
共管	gs gr
共聚	gs ju
共舞	gs wu
共计	gs ji
共识	gs ui
共谋	gs mz
共赏	gs uh
共进	gs jb
共需	gs xu
共青团	gs qk tr
共青团员	gs qk tr yr
关怀备注	gr hk bw vu
关怀备至	gr hk bw vi
关汉卿	gr hj qk
关税	gr uv
关系户	gr xi hu
关系网	gr xi wh
关节炎	gr jp yj
关键性	gr jm xk
兴云致雨	xk yy vi yu
兴亡	xk wh
兴修	xk xq
兴冲冲	xk is is
兴利除害	xk li iu hd
兴味盎然	xk ww ag rj
兴学	xk xt
兴许	xk xu
兴起	xk qi
兴高彩烈	xk gc cd lp
兵乱	bk lr
兵力	bk li
兵变	bk bm
兵员	bk yr
兵家	bk jx
兵工厂	bk gs ih
兵役	bk yi
兵役法	bk yi fa
兵微将寡	bk ww jl gx
兵操	bk cc
兵站	bk vj
其一	qi yi
其义自见	qi yi zi jm
其势汹汹	qi ui xs xs
其后	qi hz
其奈我何	qi nd wo he
其它	qi ta
其间	qi jm
其馀	qi yu
典礼	dm li
典章	dm vh
典籍	dm ji
养子	yh zi
养护	yh hu
养殖业	yh vi ye
养殖场	yh vi ih
养母	yh mu
养父	yh fu
养生之道	yh ug vi dc
养神	yh uf
养老金	yh lc jb
养老院	yh lc yr
养路	yh lu
养身	yh uf
兼修	jm xq
兼具	jm ju
兼听	jm tk
兼夹	jm ga
兼夹	jm jx
兼容并包	jm rs bk bc
兼收	jm uz
兼管	jm gr
兼职	jm vi
兼营	jm yk
兼课	jm ke
兼顾	jm gu
兽交	uz jn
兽医	uz yi
兽疫	uz yi
兽类	uz lw
冀南	ji nj
内分泌	nw ff mi
内助	nw vu
内子	nw zi
内有	nw yz
内河	nw he
内海	nw hd
内燃机	nw rj ji
内经	nw jk
内脂	nw vi
内陆国	nw lu go
内陆河	nw lu he
内顾之忧	nw gu vi yz
冇乜	mc mp
冇乜	mc np
冇交易	mc jn yi
冇修	mc xq
冇几何	mc ji he
冇厘搭霎	mc li da ua
冇厘神气	mc li uf qi
冇口齿	mc kz ii
冇啖好食	mc dj hc si
冇啖好食	mc dj hc ui
冇啖好食	mc dj hc yi
冇声气	mc ug qi
冇尾飞砣	mc ww fw to
冇得	mc de
冇得	mc dw
冇得倾	mc de qk
冇得倾	mc dw qk
冇得顶	mc de dk
冇得顶	mc dw dk
冇心机	mc xb ji
冇手尾	mc uz ww
冇掩鸡笼	mc yj ji ls
冇料	mc ln
冇时定	mc ui dk
冇晒表情	mc ud bn qk
冇有怕	mc yz pa
冇理由	mc li yz
冇瘾	mc yb
冇相干	mc xl gj
冇眼睇	mc yj di
冇穿冇烂	mc ir mc lj
冇符	mc fu
冇米粥	mc mi vz
冇耳性	mc er xk
冇脑	mc nc
冇行	mc hh
冇行	mc xk
冇计	mc ji
冇记性	mc ji xk
冇谱	mc pu
冇走鸡	mc zz ji
冇雷公咁远	mc lw gs gj yr
再不	zd bu
再审	zd uf
再生产	zd ug ij
再聊	zd ln
再起	zd qi
冒进	mc jb
写字台	xp zi td
写意	xp yi
写手	xp uz
冚唪唥	kj fg lh
冚家铲	kj jx ij
冚旗	kj qi
冚档	kj dh
军中	jy vs
军乐团	jy yt tr
军乐队	jy yt dv
军事家	jy ui jx
军令状	jy lk vl
军体	jy ti
军兵种	jy bk vs
军分区	jy ff qu
军功	jy gs
军功章	jy gs vh
军务	jy wu
军国	jy go
军国主义	jy go vu yi
军垦	jy kf
军士	jy ui
军委	jy ww
军威	jy ww
军属	jy uu
军工	jy gs
军师	jy ui
军徽	jy hv
军操	jy cc
军政	jy vg
军旗	jy qi
军机	jy ji
军法	jy fa
军烈属	jy lp uu
军界	jy jp
军礼	jy li
军粮	jy ll
军统	jy ts
军职	jy vi
军衔	jy xm
军衣	jy yi
军装警员	jy vl jk yr
军资	jy zi
军转	jy vr
军转办	jy vr bj
军部	jy bu
军需	jy xu
军马	jy ma
军龄	jy lk
农业国	ns ye go
农业税	ns ye uv
农事	ns ui
农产品	ns ij pb
农会	ns hv
农副业	ns fu ye
农场主	ns ih vu
农妇	ns fu
农学	ns xt
农学院	ns xt yr
农家肥	ns jx fw
农工	ns gs
农技	ns ji
农时	ns ui
农机	ns ji
农机具	ns ji ju
农林	ns lb
农牧业	ns mu ye
农膜	ns mo
农舍	ns ue
农谚	ns yj
农贷	ns dd
农资	ns zi
冠军赛	gr jy sd
冠心病	gr xb bk
冠捷	gr jp
冠绝一时	gr jt yi ui
冠群	gr qy
冤家	yr jx
冤枉	yr wh
冤枉嚟瘟疫去	yr wh li wf yi qu
冤枉嚟瘟疫去	yr wh lw wf yi qu
冤枉路	yr wh lu
冤鬼	yr gv
冥王	mk wh
冥王星	mk wh xk
冧巴	lf ba
冧庄	lf vl
冧歌	lf ge
冧篷头	lf pg tz
冬令营	ds lk yk
冬常服	ds ih fu
冬景	ds jk
冬暖夏凉	ds nr xx ll
冬泳	ds ys
冬烘	ds hs
冬瓜豆腐	ds gx dz fu
冬节	ds jp
冬衣	ds yi
冬运会	ds yy hv
冰刀	bk dc
冰壶秋月	bk hu qq yt
冰封大地	bk fg da de
冰封大地	bk fg da di
冰封大地	bk fg dd de
冰封大地	bk fg dd di
冰封雪盖	bk fg xt gd
冰峰	bk fg
冰毒	bk du
冰清玉润	bk qk yu ry
冲击波	is ji bo
冲剂	is ji
冲压	is ya
冲开	is kd
冲撞	is vl
冲灯	is dg
冲积	is ji
冲绳	is ug
冲锋	is fg
冲锋枪	is fg ql
决不	jt bu
决定论	jt dk ly
决意	jt yi
决无	jt mo
决无	jt wu
决案	jt an
决计	jt ji
决赛权	jt sd qr
决非	jt fw
冷不防	lg bu fh
冷库	lg ku
冷板凳	lg bj dg
冷语冰人	lg yu bk rf
冻亲	ds qb
冻亲	ds qk
冻冰冰	ds bk bk
冻害	ds hd
冻过水	ds go uv
净值	jk vi
净利	jk li
净化	jk hx
净重	jk vs
净面	jk mm
凄婉	qi wj
凄怆	qi il
准格尔	vy ge er
准确性	vy qt xk
凉山	ll uj
凉浸浸	ll jb jb
凉透	ll tz
凌夷	lk yi
凌空	lk ks
减仓	jm ch
减免	jm mm
减刑	jm xk
减持	jm ii
减灾	jm zd
凑啱	cz nj
凑啱	cz yj
凑效	cz xn
凝胶	nk jn
凝药	nk yc
凝集	nk ji
几何	ji he
几内亚	ji nw ya
几时	ji ui
几率	ji lv
几种	ji vs
凡人	fj rf
凡例	fj li
凡属	fj uu
凡属	fj vu
凡是	fj ui
凤头猪肚	fg tz vu du
凭陵	pk lk
凯西	kd xi
凸出	tu iu
凸起	tu qi
出世	iu ui
出世纸	iu ui vi
出乱子	iu lr zi
出事	iu ui
出于	iu yu
出人意外	iu rf yi wd
出以公心	iu yi gs xb
出价	iu jx
出众	iu vs
出使	iu ui
出出进进	iu iu jb jb
出击	iu ji
出力	iu li
出厂	iu ih
出厂价	iu ih jx
出发地	iu fa di
出发点	iu fa dm
出处	iu iu
出外	iu wd
出奇	iu qi
出嫁	iu jx
出尽八宝	iu jb ba bc
出局	iu ju
出工	iu gs
出师	iu ui
出师不利	iu ui bu li
出得厅堂入得厨房	iu de tk th ru de iu fh
出得厅堂入得厨房	iu de tk th ru dw iu fh
出得厅堂入得厨房	iu dw tk th ru de iu fh
出得厅堂入得厨房	iu dw tk th ru dw iu fh
出息	iu xi
出手	iu uz
出操	iu cc
出术	iu uu
出术	iu vu
出格	iu ge
出毛病	iu mc bk
出气	iu qi
出污泥而不染	iu wu ni er bu rj
出没	iu mo
出浴	iu yu
出海	iu hd
出炉	iu lu
出版物	iu bj wu
出狱	iu yu
出猫	iu mc
出生率	iu ug lv
出界	iu jp
出监	iu jm
出示	iu ui
出神	iu uf
出租车	iu zu ie
出站	iu vj
出纳员	iu na yr
出线	iu xm
出线权	iu xm qr
出航	iu hh
出苗	iu mn
出蛊惑	iu gu ho
出血	iu xp
出血	iu xt
出行	iu xk
出让	iu rh
出访	iu fh
出谋献策	iu mz xm ce
出资	iu zi
出车	iu ie
出轨	iu gv
出阵	iu vf
出风头	iu fg tz
击中	ji vs
击剑	ji jm
击打	ji da
击毁	ji hv
击破	ji po
击节叹赏	ji jp tj uh
击退	ji tv
凼凼转	dh dh vr
函件	hj jm
凿空	zc ks
凿穿	zc ir
刀下	dc xx
刀仔锯大树	dc zd ju da uu
刀仔锯大树	dc zd ju dd uu
刀仔锯大树	dc zi ju da uu
刀仔锯大树	dc zi ju dd uu
刀伤	dc uh
刀具	dc ju
刀刃	dc rf
刀刻	dc ke
刀削	dc xn
刀削	dc xt
刀口	dc kz
刀耕火种	dc gg ho vs
刁侨扭拧	dn qn nq nk
分之	ff vi
分公司	ff gs si
分册	ff ce
分分秒秒	ff ff mn mn
分分钟	ff ff vs
分列式	ff lp ui
分场	ff ih
分居	ff ju
分房	ff fh
分晓	ff xn
分期	ff qi
分机	ff ji
分析师	ff xi ui
分校	ff xn
分母	ff mu
分水岭	ff uv lk
分洪	ff hs
分界	ff jp
分等	ff dg
分米	ff mi
分红	ff hs
分给	ff gw
分给	ff ji
分脏	ff zh
分设	ff ue
分赴	ff fu
分辩率	ff bm lv
分辩率	ff bm uk
分部	ff bu
分野	ff ye
分门别户	ff mf bp hu
分门别类	ff mf bp lw
切切	qp qp
切切实实	qp qp ui ui
切削	qp xn
切实可行	qp ui ke xk
切实有力	qp ui yz li
切忌	qp ji
刊号	kj hc
刊头	kj tz
刊文	kj wf
刊载	kj zd
刍荛	iu rc
刎颈	wf gg
刎颈	wf jk
刑事	xk ui
刑事犯	xk ui fj
刑戮	xk lu
刑期	xk qi
刑罚	xk fa
刑讯	xk xy
划不来	hx bu ld
划出	hx iu
划界	hx jp
划线	hx xm
列国	lp go
列宁	lp nk
列宁主义	lp nk vu yi
列宁格勒	lp nk ge le
列宁格勒	lp nk ge lw
列强	lp ql
列车员	lp ie yr
刘伯承	lq bd ig
刘伯承	lq bo ig
刘伯温	lq bd wf
刘伯温	lq bo wf
刘墉	lq ys
刘备	lq bw
刘少奇	lq uc qi
刘德华	lq de hx
刘欢	lq hr
刘禅	lq ij
刘禅	lq uj
刘禹锡	lq yu xi
刘秀	lq xq
刘翔	lq xl
刘邦	lq bh
刚直不阿	gh vi bu ee
刚肠嫉恶	gh ih ji ee
刚肠嫉恶	gh ih ji wu
创世	il ui
创伤	il uh
创刊号	il kj hc
创利	il li
创始人	il ui rf
创维	il ww
创见	il jm
创造力	il zc li
创造性	il zc xk
初中生	iu vs ug
初具	iu ju
初具规模	iu ju gv mo
初创	iu il
初四	iu si
初夏	iu xx
初始	iu ui
初审	iu uf
初小	iu xn
初战	iu vj
初战告捷	iu vj gc jp
初版	iu bj
初生	iu ug
初衷	iu vs
初试	iu ui
初选	iu xr
删节	uj jp
判例	pj li
判决书	pj jt uu
判断力	pj dr li
判涣	pj hr
判罪	pj zv
利利是是	li li ui ui
利利索索	li li so so
利器	li qi
利国	li go
利害	li hd
利己	li ji
利是封	li ui fg
利比亚	li bi ya
利物浦	li wu pu
利益均沾	li yi jy vj
利盟	li mg
利诱	li yz
别具匠心	bp ju jl xb
别动队	bp ds dv
别风淮雨	bp fg hk yu
刮龙	gx ls
到会	dc hv
到其时	dc qi ui
到喉唔到肺	dc hz wu dc fw
到点	dc dm
到职	dc vi
到账	dc vh
制剂	vi ji
制动	vi ds
制备	vi bw
制导	vi dc
制度化	vi du hx
制式	vi ui
制得过	vi de go
制得过	vi dw go
制成	vi ig
制成品	vi ig pb
制服	vi fu
制法	vi fa
制片厂	vi pm ih
制版	vi bj
制盐	vi yj
制程	vi ig
制药	vi yc
制衣	vi yi
制订	vi dk
制造业	vi zc ye
制造商	vi zc uh
制高点	vi gc dm
刹住	ia vu
刹住	ua vu
刺史	ci ui
刺头	ci tz
刺戳	ci io
刺槐	ci hk
刺激性	ci ji xk
刻划	ke hx
刻毒	ke du
刽子手	gv zi uz
剂型	ji xk
剃眼眉	ti yj mw
剃须	ti xu
削尖	xn jm
削尖	xt jm
削成	xn ig
削成	xt ig
前个排	qm ge pd
前人	qm rf
前人栽树后人乘凉	qm rf zd uu hz rf ig ll
前人栽树后人乘凉	qm rf zd uu hz rf ug ll
前夫	qm fu
前头	qm tz
前奏曲	qm zz qu
前妻	qm qi
前敌	qm di
前科	qm ke
前程万里	qm ig wj li
前程似锦	qm ig si jb
前站	qm vj
前端	qm dr
前线	qm xm
前苏联	qm su lm
前言	qm yj
前车可鉴	qm ie ke jm
前车可鉴	qm ju ke jm
前送	qm ss
前驱	qm qu
剑指	jm vi
剑术	jm uu
剔手边	ti uz bm
剔除	ti iu
剞劂	ji jt
剥光猪	bc gl vu
剥光猪	bo gl vu
剥削阶级	bo xt jp ji
剥离	bo li
剥落	bo lo
剥蚀	bo ui
剦狗	yj gz
剧中人	ju vs rf
剧作者	ju zo ve
剧变	ju bm
剧种	ju vs
剩番	ug fj
剩番	ug pj
剪刀	jm dc
剪刀差	jm dc ia
剪子	jm zi
剪影	jm yk
剪枝	jm vi
剪纸	jm vi
剪裁	jm cd
副产品	fu ij pb
副作用	fu zo ys
副官	fu gr
副手	fu uz
副教授	fu jn uz
副职	fu vi
副题	fu ti
副食	fu ui
副食品	fu ui pb
割地	ge di
割据	ge ju
割断	ge dr
割禾青	ge he qk
劏死牛	th si nq
劏死牛	ts si nq
力争上游	li vg uh yz
力克	li ke
力士	li ui
劝慰	qr ww
办事处	bj ui iu
办公桌	bj gs vo
办到	bj dc
办厂	bj ih
办房	bj fh
办班	bj bj
办馆	bj gr
功业	gs ye
功利	gs li
功名	gs mk
功底	gs di
功德	gs de
功成不居	gs ig bu ju
功成名遂	gs ig mk sv
功标青史	gs bn qk ui
功用	gs ys
功绩	gs ji
功薄蝉翼	gs bc ij yi
功薄蝉翼	gs bo ij yi
加之	jx vi
加仑	jx ly
加以	jx yi
加价	jx jx
加元	jx yr
