# d h u v p
#点横竖折撇

的	puvhhpvd
腰	pvhhhuvuuhvph
牌	puhvpuvhhphu
肩	dvhpuvhh
冒	uvhhuvhhh
幅	uvuhuvhuvhuh
累	uvhuhvvdupd
舒	pdhhuuvhvdvu
倾	puhvhpuvpd
奔	hpdhuhpu
暂	hvuhpphuuvhh
豆	huvhdph
壮	dhuhuh
擦	huhddvpvddvdhhupd
玉	hhuhd
典	uvhuuhpd
薄	huuddhhuvhhudhud
滑	ddhuvvdvuvhh
详	dvdphhhu
页	hpuvpd
皆	hvpvpuvhh
夹	hdphpd
糖	dphupddhpvhhuuvh
怜	ddupddvd
梁	ddhvpddhupd
授	huhpddpdvvd
征	ppuhuhuh
捕	huhhuvhhud
剩	phuuhhpvpduu
邻	pddvdvu
旋	dhvpphvuhpd
凉	dhdhuvhupd
盾	pphuuvhhh
延	puhvvd
械	hupdhhpuvpd
码	hpuvhvvh
届	vhpuvhuh
恢	dduhpdppd
迫	puvhhdvd
予	vdvu
召	vpuvh
措	huhhuuhuvhh
珠	hhuhphhupd
琴	hhuhhhuhpddv
妻	hvhhuvph
宋	ddvhupd
陷	vupvpuhvhh
俗	pupdpduvh
弯	dhuupdvhv
宇	ddvhhu
殖	hpvdhuuvhhhh
册	pvpvh
瞧	uvhhhpudhhhuhdddd
衡	ppupvuvhuhhpdhhu
塞	ddvhhuuhpdhuh
彻	ppuhvvp
诚	dvhpvvpd
钻	phhhvuhuvh
壤	huhdhuvhuvhhhuuhpvpd
妙	vphupdp
厅	hphu
缓	vvhpddphhpvd
闭	duvhup
渡	ddhdhphuuhvd
骂	uvhuvhvvh
旗	dhvpphhuuhhhpd
宫	ddvuvhuvh
戴	huhuvhuhhuuhpdvpd
析	hupdpphu
符	phdphdpuhud
暖	uvhhpddphhpvd
纳	vvhuvpd
蓝	huuuuphduvuuh
阔	duvddhphuuvh
漠	ddhhuuuvhhhpd
疗	dhpdhvu
伴	pudphhu
坡	huhvpuvd
彷	ppudhvp
截	huhpudhhhuhvpd
棒	hupdhhhpdhhu
仿	pudhvp
犹	pvphpvd
挺	huhphuhvd
艰	vdvhhvpd
躺	puvhhhpudpuvuvh
役	ppupvvd
悄	dduudpuvhh
鼻	puvhhhuvhuhhpu
乙	v
竞	dhdphuvhpv
圣	vdhuh
网	uvpdpd
剪	dphuvhhuuvp
灾	ddvdppd
藉	huuhhhupdhuuhuvhh
障	vudhdphuvhhhu
割	ddvhhhuuvhuu
狂	pvphhuh
署	uvuuhhuhpuvhh
虎	uhvphvpv
姿	dhpvpdvph
欣	pphupvpd
珍	hhuhpdppp
猫	pvphuuuvhuh
践	uvhuhuhhhvpd
跃	uvhuhuhphpd
矛	vdvup
援	huhpddphhpvd
邦	hhhpvu
弃	dhvdhpu
龄	uhuhpdvupddvd
启	dvhpuvh
裂	hpvduudhpvpd
寄	ddvhpdhuvhu
拖	huhphvuv
贴	uvpduhuvh
伍	puhuvh
殊	hpvdphhupd
袖	dvupduvhuh
纺	vvhdhvp
柱	hupddhhuh
池	ddhvuv
申	uvhhu
拜	phhphhhhu
炸	dppdphuhh
脏	pvhhdhphuh
朗	dvhhvdpvhh
贡	huhuvpd
俩	puhuvpdpd
竹	phuphu
虚	uhvphvuudph
辛	dhdphhu
墨	uvdphuhhddddhuh
辞	phuuvhdhdphhu
伦	pupdpv
怒	vphvddvdd
瓜	ppvdd
胸	pvhhpvpdvu
趋	huhuhpdpvvhh
填	huhhuuvhhhhpd
哦	uvhphuhvpd
牲	phuhphhuh
卡	uhhud
唐	dhpvhhuuvh
忆	dduv
净	dhpvvhhu
踏	uvhuhuhuvpduvhh
软	hvuhpvpd
怨	pvdvvdvdd
忧	dduhpvd
桩	hupddhphuh
滴	ddhdhdpuvhuuvh
浓	ddhdvpvpd
埋	huhuvhhuhh
宁	ddvhu
扇	dvhpvdhvdh
塑	dphvuppvhhhuh
饮	pvvpvpd
驶	vvhuvhpd
勉	pvuvhpvvp
晓	uvhhhvphpv
渔	ddhpvuvhuhh
碳	hpuvhuvuhpdppd
兼	dphvhhuupd
吓	uvhhud
慰	vhphhupdhuddvdd
抢	huhpdvv
审	ddvuvhhu
捉	huhuvhuhpd
绳	vvhuvhuvhhv
饿	pvvphuhvpd
叙	pdhhupdvd
估	puhuuvh
呈	uvhhhuh
闷	duvdvdd
泛	ddhpdvd
祝	dvuduvhpv
贫	pdvpuvpd
疾	dhpdhphhpd
厉	hphvp
胆	pvhhuvhhh
嘛	uvhdhphupdhupd
摩	dhphupdhupdphhu
陪	vudhdphuvh
寂	ddvuhhupdvd
扑	huhud
邀	puvhhdhvpphpddvd
骑	vvhhpdhuvhu
辉	udphpvdvhvhu
勤	huuhuvhhhuhvp
孤	vuhppvdd
挤	huhdhpdpu
谷	pdpduvh
帽	uvuuvhhuvhhh
蜂	uvhuhdpvdhhhu
涂	ddhpdhhupd
旦	uvhhh
秦	hhhpdphupd
串	uvhuvhu
呆	uvhhupd
嗯	uvhuvhpdhdvdd
驾	vpuvhvvh
咬	uvhdhpdpd
毁	puhvhhhuhpvvd
孙	vuhupd
庆	dhphpd
削	udpuvhhuu
拔	huhhpvdd
帐	uvuphvd
伏	puhpdd
惟	ddupudhhhuh
眉	vuhpuvhhh
辩	dhdphhpdvdhdphhu
抑	huhpvvu
脉	pvhhdvvpd
恰	ddupdhuvh
灌	ddhhuuuvhuvhpudhhhuh
颇	vpuvdhpuvpd
苍	huupdvv
拒	huhhvhv
棵	hupduvhhhupd
肚	pvhhhuh
稻	phupdpddppuhvhh
菲	huuuhhhuhhh
汤	ddhvpp
疯	dhpdhpvpd
仗	puhpd
剥	vhhudhpduu
哎	uvhhuupd
牧	phuhphpd
腐	dhppuhuduvpdpd
悉	pdphupddvdd
壳	huhdvpv
炼	dppdhvvpd
剂	dhpdpuuu
恨	dduvhhvpd
搭	huhhuupdhuvh
炉	dppddvhp
秀	phupdvp
签	phdphdpdhddph
绪	vvhhuhpuvhh
猪	pvphuhpuvhh
闲	duvhupd
井	hhpu
窝	ddvpduvhuvpd
撞	huhdhdphuvhhuhh
匆	pvppd
宿	ddvpuhpuvhh
愤	dduhuhuuuvpd
晶	uvhhuvhhuvhh
滚	ddhdhpdvdpvpd
墙	huhhudphuvuvhh
昏	pvhvuvhh
铅	phhhvpvuvh
甘	huuhh
膀	pvhhdhdpdvdhvp
违	hhvudvd
忠	uvhudvdd
戒	hhpuvpd
浅	ddhhhvpd
烂	dppddphhh
猜	pvphhuhuvhh
扫	huhvhh
沟	ddhpvvd
润	ddhduvhhuh
甜	phuuvhhuuhh
耕	hhhupdhhpu
迁	phudvd
狱	pvpdvhpdd
凝	dhpvphhpdvdvuhpd
凝	dhpvpuupdvdvuhpd
喷	uvhhuhuuuvpd
糊	dphupdhuuvhpvhh
吐	uvhhuh
姊	vphpvup
躲	puvhhhppvhupd
腾	pvhhdphhpdvvh
卷	dphhpdvv
罚	uvuuhdvuu
敲	dhuvhuvuvhuhvd
稀	phupdpdhpuvu
振	huhhphhvpd
贯	vvuhuvpd
疲	dhpdhvpuvd
筋	phdphdpvhhvp
尝	udpdvhhvd
瓦	hvvd
慌	dduhuudhvpuv
漂	ddhhuvuuhhhupd
裁	huhdhpvpdvpd
赖	huvhupdpvuvpd
欠	pvpd
漫	ddhuvhhuvuuhvd
赚	uvpddphvhhuupd
肃	vhhupupd
柴	uhuhpvhupd
赤	huhpupd
焦	pudhhhuhdddd
荒	huudhvpuv
丢	phuhvd
杆	hupdhhu
盼	uvhhhpdvp
臂	vhpuvhdhdphhuuvhh
臣	huvhuv
涉	ddhuhuhupp
聪	huuhhhdpuvhdvdd
阅	duvdpuvhpv
叹	uvhvd
胎	pvhhvduvh
汇	ddhhv
租	phupduvhhh
胀	pvhhphvd
膜	pvhhhuuuvhhhpd
仙	puuvu
吉	huhuvh
刊	hhuuu
冠	dvhhpvhud
慧	hhhuhhhuvhhdvdd
缝	vvhpvdhhhudvd
遵	dphuvpvhhhuddvd
丧	hudphvpd
纤	vvhphu
峰	uvupvdhhhu
柔	vdvuphupd
澳	ddhpuvdphupdhpd
辈	uhhhuhhhhvhu
驻	vvhdhhuh
哀	dhuvhpvpd
弓	vhv
炮	dppdpvvhv
茫	huuddhdhv
幻	vvdv
箭	phdphddphuvhhuu
膨	pvhhhuhuvhdphppp
薪	huudhdphhupdpphu
蜜	ddvdvdpduvhuhd
椅	hupdhpdhuvhu
稿	phupddhuvhuvuvh
杨	hupdvpp
籍	phdphdhhhupdhuuhuvhh
仁	puhh
丛	pdpdh
症	dhpdhhuhuh
碍	hpuvhuvhhhhud
宾	ddvpuhuhpd
撤	huhdhvduvhhphpd
醉	huvpvhhdhpdpdhu
乌	pvvh
坦	huhuvhhh
揭	huhuvhhpvpdv
敏	phvvdhdphpd
泳	ddhdvvpd
齿	uhuhpdvu
辨	dhdphhpdpdhdphhu
伊	puvhhp
恩	uvhpdhdvdd
宙	ddvuvhuh
拾	huhpdhuvh
篮	phdphduuphduvuuh
雷	hdvudddduvhuh
淀	ddhddvhuhpd
纱	vvhupdp
融	huvhuvdphuuvhuhd
岂	uvuvhv
伪	pudpvd
抛	huhpvvp
肌	pvhhpv
刑	hhpuuu
涌	ddhvduvhhu
傅	puhuvhhudhud
匀	pvdh
奉	hhhpdhhu
肺	pvhhhuvu
悬	uvhhhvddvdd
耀	udphpvvdhvdhpudhhhuh
韩	huuvhhhuhhvu
川	puu
瘦	dhpdhpuhvhhuvd
盟	uvhhpvhhuvuuh
唤	uvhpvuvhpd
纹	vvhdhpd
尘	updhuh
舍	pdhhuuvh
厌	hphpdd
宅	ddvphv
矩	phhpdhvhv
隐	vupvvhhdvdd
鼠	puhvhhvddvddv
倘	puudpuvuvh
冻	dhhvupd
歇	uvhhpvpdvpvpd
燕	huuhuvhuhhpvdddd
骤	vvhhuuhhhvdpupppd
婶	vphddvuvhhu
缴	vvhpuvhhdhvpphpd
铃	phhhvpddvd
溜	ddhpvdvpuvhuh
皿	uvuuh
笼	phdphdhpvpd
譬	vhpuvhdhdphhudhhhuvh
飘	huvuuhhhupdpvpd
潜	ddhhhpdhhpduvhh
疏	vuhuhdhvdpuv
祸	dvuduvhuvpd
胃	uvhuhuvhh
雾	hdvuddddpvdvp
脂	pvhhpvuvhh
豪	dhuvhdvhpvpppd
贝	uvpd
卵	pvdpvud
奴	vphvd
恋	dhuupddvdd
钉	phhhvhu
饱	pvvpvvhv
卓	uhuvhhhu
扰	huhhpvd
返	ppvddvd
库	dhphvhu
泰	hhhpdudhpd
猎	pvphuuhuvhh
紫	uhuhpvvvdupd
耗	hhhupdphhv
肠	pvhhvpp
铺	phhhvhuvhhud
锋	phhhvpvdhhhu
碱	hpuvhhphuvhvpd
叠	vdvdvddvuvhhh
蚀	pvvuvhuhd
塔	huhhuupdhuvh
牵	hpddvphhu
莲	huuhvhudvd
刷	vhpuvuuu
廷	phuhvd
惨	dduvdhpdppp
锅	phhhvuvhuvpd
敦	dhuvhvuhphpd
添	ddhhhpduddd
蛇	uvhuhdddvpv
踪	uvhuhuhddvhhupd
崇	uvuddvhhupd
循	ppupphuuvhhh
梯	hupddpvhvup
瓷	dhpvpdhvvd
傲	puhhuhvpphpd
捧	huhhhhpdhhu
兽	dpuvhuhhuvh
漏	ddhvhphuvudddd
癌	dhpdhuvhuvhuvhuvu
匹	hpvv
芬	huupdvp
魂	hhvdpuvhhpvvd
舌	phuuvh
洪	ddhhuuhpd
眠	uvhhhvhvhv
递	dpvhvupdvd
牺	phuhhuvpvh
玳	hhuhpuhvd
瑁	hhuhuvhhuvhhh
邮	uvhuhvu
骗	vvhdvhpuvhuu
丹	pvdh
剑	pdhddphuu
屈	vhpvuuvu
托	huhphv
衫	dvupdppp
迈	hvpdvd
锐	phhhvdpuvhpv
柜	hupdhvhv
畜	dhvvduvhuh
鸣	uvhpvdvh
丁	hu
妖	vphphpd
泼	ddhvpvdd
奥	puvdphupdhpd
宪	ddvphuhpv
牢	ddvphhu
誉	ddphpddhhhuvh
徐	ppupdhhupd
掩	huhhpduvhhv
涨	ddhvhvphvd
扎	huhv
妨	vphdhvp
嫌	vphdphvhhuupd
溪	ddhpddpvvdhpd
胁	pvhhvpdd
挖	huhddvpdv
巾	uvu
挣	huhpvvhhu
皱	pvvhhvpuvd
披	huhvpuvd
拼	huhdphhpu
爽	hpdpdpdpdpd
筒	phdphduvhuvh
抖	huhddhu
扯	huhuhuh
拨	huhvpvdd
鸦	hvuppvdvh
傻	pupuvpdhpdpvd
锦	phhhvpuvhhuvu
塘	huhdhpvhhuuvh
岭	uvupddvd
筹	phdphdhhhphud
赔	uvpddhdphuvh
弧	vhvppvdd
寸	hud
愁	phupddppddvdd
株	hupdphhupd
浸	ddhvhhdvvd
腔	pvhhddvpdhuh
览	uuphduvpv
郊	dhpdpdvu
锁	phhhvudpuvpd
储	pudvhuhpuvhh
吵	uvhupdp
晋	huudphuvhh
偿	puudpdvhhvd
恼	ddudhpdvu
扶	huhhhpd
滋	ddhdphvvdvvd
痕	dhpdhvhhvpd
纽	vvhvuhh
悠	puuphpddvdd
睁	uvhhhpvvhhu
嫁	vphddvhpvpppd
募	huuuvhhhpdvp
吴	uvhhhpd
扮	huhpdvp
沉	ddhdvpv
漆	ddhhupdpdudhpd
译	dvvdhhu
亏	hhv
趁	huhuhpdpdppp
喉	uvhpuvhphhpd
庙	dhpuvhuh
巩	huhpvd
吞	hhpduvh
熊	vduvhhpvpvdddd
逢	pvdhhhudvd
哼	uvhdhuvhvu
摘	huhdhdpuvhuuvh
矮	phhpdphupdvph
砂	hpuvhupdp
综	vvhddvhhupd
肢	pvhhhuvd
舅	puhvhhuvhuhvp
艘	ppvdhdpuhvhhuvd
酬	huvpvhhdpdudu
奈	hpdhhupd
炎	dppddppd
锥	phhhvpudhhhuh
倡	puuvhhuvhh
仓	pdvv
侨	puphpdpu
慈	dphvvdvvddvdd
戚	hpuhhupdvpd
晒	uvhhhuvpvh
脾	pvhhpuvhhphu
隆	vupvdhphhuh
允	vdpv
掷	huhdphhpdvu
阁	duvpvduvh
黎	phupdpvppdudhpd
廉	dhpdphvhhuupd
恒	dduhuvhhh
橡	hupdpvuvhpvpppd
裤	dvupddhphvhu
叛	dphhpppvd
幽	uvvdvvdvu
纠	vvhvu
翅	huvdvdhvdh
址	huhuhuh
挽	huhpvuvhpv
贤	uuvduvpd
轰	hvhuvdvd
鹅	phuhvpdpvdvh
伐	puhvpd
嚷	uvhdhuvhuvhhhuuhpvpd
扣	huhuvh
欺	huuhhhpdpvpd
洛	ddhpvduvh
硫	hpuvhdhvdpuv
络	vvhpvduvh
遮	dhphuuhdddddvd
脊	dhpdpduvhh
庞	dhphpvpd
呵	uvhhuvhu
翼	vdhvdhuvhuhhuuhpd
蓄	huudhvvduvhuh
衰	dhuvhhpvpd
贼	uvpdhhpvpd
婴	uvpduvpdvph
拆	huhpphud
沸	ddhvhvpu
辅	hvuhhuvhhud
挨	huhvdphhpd
翁	pdvdvdhvdh
萄	huupvphhuvu
葡	huupvhuvhhud
袭	hpvpddhpvpd
辑	hvuhuvhhuuhhh
蒋	huudhupvdhud
朴	hupdud
荡	huuddhvpp
驼	vvhddvpv
狠	pvpvhhvpd
盒	pdhuvhuvuuh
遂	dphpvpppddvd
雀	updpudhhhuh
倦	pudphhpdvv
匠	hpphuv
峡	uvuhdphpd
滩	ddhvdpudhhhuh
询	dvpvuvhh
栽	huhhupdvpd
糟	dphupdhuvhuuhuvhh
脆	pvhhpvhpvv
轨	hvuhpv
厦	hphpuvhhhpvd
摔	huhdhvvddhpdhu
咐	uvhpuhud
寿	hhhphud
撒	huhhuuhuvhhphpd
卧	huvhuvud
辽	vudvd
坑	huhdhpv
尸	vhp
桶	hupdvduvhhu
蓬	huupvdhhhudvd
雕	pvhuhuvhpudhhhuh
勿	pvpp
鸭	uvhhupvdvh
懒	dduhuvhupdpvuvpd
煮	huhpuvhhdddd
狭	pvphdphpd
猿	pvphuhuvhpvpd
盗	dhpvpduvuuh
键	phhhvvhhhhuvd
驱	vvhhpdv
晴	uvhhhhuhuvhh
暑	uvhhhuhpuvhh
疼	dhpdhpvddd
芦	huudvhp
烛	dppduvhuhd
苗	huuuvhuh
谊	dvddvuvhhh
郎	dvhhvdvu
钓	phhhvpvd
刘	dhpduu
慎	dduhuuvhhhhpd
赴	huhuhpdud
隶	vhhudhpd
魏	phupdvphpuvhhpvvd
堪	huhhuuhhhpdv
斑	hhuhdhpdhhuh
浑	ddhdvhvhu
燥	dppduvhuvhuvhhupd
蔬	huuvuhuhdhvdpuv
儒	puhdvuddddhpuvuu
抹	huhhhupd
遥	pddpphhuvudvd
慕	huuuvhhhpduddd
枯	hupdhuuvh
杰	hupddddd
昂	uvhhpvvu
兔	pvuvhpvd
斥	pphud
娃	vphhuhhuh
嫩	vphhuvhupdphpd
厨	hphuvhdphhud
拘	huhpvuvh
滥	ddhuuphduvuuh
滤	ddhuhvphvdvdd
凶	pdvu
桃	hupdpdhvpd
瞎	uvhhhddvhhhuuvh
魔	dhphupdhupdpuvhhpvvd
俺	puhpduvhhv
惧	dduuvhhhhpd
讥	dvpv
颤	dhuvuvhhuvhhhhpuvpd
仇	pupv
妥	pddpvph
娱	vphuvhhhpd
弦	vhvdhvvd
铝	phhhvuvhuvh
攀	hupdpdpdhupdhpdphhu
晃	uvhhudphpv
秤	phupdhdphu
秩	phupdphhpd
腊	pvhhhuuhuvhh
芽	huuhvup
郑	dphhpdvu
陶	vupvphhuvu
刮	phuuvhuu
嘻	uvhhuhuvhdphuvh
罩	uvuuhuhuvhhhu
臭	puvhhhhpdd
诊	dvpdppp
宴	ddvuvhhvph
挡	huhudpvhh
肝	pvhhhhu
艇	ppvdhdphuhvd
舰	ppvdhduvpv
亭	dhuvhdvhu
吨	uvhhvuv
岗	uvuuvpd
悟	dduhuvhuvh
蜡	uvhuhdhuuhuvhh
泉	puvhhuvpd
浴	ddhpdpduvh
溉	ddhvhhvdhvpv
钞	phhhvupdp
扭	huhvuhh
携	huhpudhhhuhvp
姻	vphuvhpdh
氛	phhvpdvp
爵	pddpuvuuhvhhvdhud
赢	dhvuvhpvhhuvpdpvd
埃	huhvdphhpd
毅	dhdphpvpppdpvvd
渴	ddhuvhhpvpdv
浆	dhupvduvpd
狼	pvpdvhhvpd
猴	pvppuvhphhpd
罐	phhuvuhuuuvhuvhpudhhhuh
贷	puhvduvpd
雅	hvuppudhhhuh
债	puhhuhuvpd
咽	uvhuvhpdh
喘	uvhuvuhpuvuu
昌	uvhhuvhh
炭	uvuhpdppd
绑	vvhhhhpvu
葬	huuhpvdpvhpu
董	huuphuvhhuhh
酷	huvpvhhphuhuvh
旨	pvuvhh
栏	hupddphhh
津	ddhvhhhhu
骆	vvhpvduvh
恳	vhhvpddvdd
亩	dhuvhuh
诞	dvpuhvvd
遣	uvhuhuvhvhdvd
鲁	pvuvhuhhuvhh
哇	uvhhuhhuh
碟	hpuvhhuuhvhupd
纲	vvhuvpd
裹	dhuvhhhupdpvpd
饼	pvvdphhpu
骄	vvhphpdpu
拳	dphhpdphhu
摧	huhuvupudhhhuh
顽	hhpvhpuvpd
悔	dduphvvdhd
抚	huhhhpv
搅	huhddpdvuvpv
淋	ddhhupdhupd
缠	vvhdhpuvhhuhh
胖	pvhhdphhu
衬	dvupdhud
捷	huhhvhhuhpd
碧	hhuhpuvhhhpuvh
羽	vdhvdh
辟	vhpuvhdhdphhu
傍	pudhdpdvdhvp
廊	dhpdvhhvdvu
悦	ddudpuvhpv
拟	huhvdpd
柳	hupdpvpvu
爹	pdpdpvdpvd
蕉	huupudhhhuhdddd
蛙	uvhuhdhuhhuh
夸	hpdhhv
辱	hphhvpdhud
逗	huvhdphdvd
乳	pddpvuhv
押	huhuvhhu
轿	hvuhphpdpu
黏	phupdpdudhpduhuvh
玲	hhuhpddvd
盲	dhvuvhhh
赌	uvpdhuhpuvhh
跪	uvhuhuhpvhpvv
唉	uvhvdphhpd
夕	pvd
腹	pvhhphuvhhpvd
蚕	hhpduvhuhd
裳	udpdvuvhdhpvpd
赠	uvpddpuvudphuvhh
丑	vuhh
凑	dhhhhpdhhpd
颈	vdhuhhpuvpd
侯	puvhphhpd
勒	huuhuvhhuvp
媳	vphpuvhhhdvdd
掀	huhpphupvpd
柏	hupdpuvhh
汪	ddhhhuh
趟	huhuhpdudpuvuvh
蹲	uvhuhuhdphuvpvhhhud
卑	puvhhphu
吩	uvhpdvp
噢	uvhpuvdphupdhpd
喂	uvhuvhuhhvpd
孕	vpvuh
宵	ddvudpuvhh
旱	uvhhhhu
曼	uvhhuvuuhvd
挫	huhpdpdhuh
旺	uvhhhhuh
榜	hupddhdpdvdhvp
氯	phhvvhhudhpd
逆	dphvupdvd
皂	puvhhhv
膝	pvhhhupdpdudhpd
吏	huvhpd
碌	hpuvhvhhudhpd
钩	phhhvpvvd
勃	hudvvuhvp
堡	puuvhhupdhuh
寞	ddvhuuuvhhhpd
稼	phupdddvhpvpppd
舱	ppvdhdpdvv
誓	huhpphudhhhuvh
劫	huhvdvp
啥	uvhpdhhuuvh
惑	huvhhvpddvdd
拢	huhhpvpd
洒	ddhhuvpvh
窄	ddvpdphuhh
隋	vuhphuhuvhh
霸	hdvuddddhuuhuvhhupvhh
俱	puuvhhhhpd
圾	huhpvd
枚	hupdphpd
胚	pvhhhpudh
跨	uvhuhuhhpdhhv
霞	hdvuddddvhuhhvhvd
伞	pddphu
畅	uvhhuvpp
歼	hpvdphu
苹	huuhdphu
驰	vvhvuv
孟	vuhuvuuh
扔	huhvp
搁	huhduvpvduvh
笨	phdphdhupdh
茹	huuvphuvh
谅	dvdhuvhupd
僧	pudpuvudphuvhh
茎	huuvdhuh
鉴	uuphdpdhhudph
顷	hvhpuvpd
鳞	pvuvhuhhdphupdpvdhvu
哟	uvhvvhpvd
蹈	uvhuhuhpddppuhvhh
丘	puhuh
侦	puuhuvpd
勾	pvvd
垒	vdvdvdhuh
滨	ddhddvpuhuhpd
聊	huuhhhpvpvu
脖	pvhhhudvvuh
陌	vuhpuvhh
隙	vuupduvhhupd
哗	uvhpupvhu
宦	ddvhuvhuv
拱	huhhuuhpd
昆	uvhhhvpv
御	ppuphhuhuhvu
掏	huhpvphhuvu
梅	hupdphvvdhd
疆	vhvhuhhuvhuhhuvhuhh
催	puuvupudhhhuh
寺	huhhud
祥	dvuddphhhu
纬	vvhhhvu
肪	pvhhdhvp
耻	huuhhhuhuh
愚	uvhhuvuhddvdd
惹	huuhpuvhdvdd
摊	huhvdpudhhhuh
泌	ddhdvdpd
羞	dphhhpvuhh
蚁	uvhuhddpd
谨	dvhuuhuvhhhuh
邱	puhuhvu
饥	pvvpv
佩	pupvhuvu
巡	vvvdvd
吊	uvhuvu
棍	hupduvhhhvpv
棚	hupdpvhhpvhh
歪	hpudhuhuh
畏	uvhuhhvpd
筝	phdphdpvvhhu
缚	vvhhuvhhudhud
诱	dvphupdvp
辐	hvuhhuvhuvhuh
匙	uvhhhuhpdpv
壶	huhdvuudph
寓	ddvuvhhuvuhd
捏	huhuvhhhuh
撑	huhudpdvuvhphhu
玛	hhuhvvh
吻	uvhpvpp
拦	huhdphhh
渠	ddhhvhvhupd
焊	dppduvhhhhu
灿	dppduvu
萨	huuvudhdphp
券	dphhpdvp
娶	huuhhhvdvph
慨	dduvhhvdhvpv
拣	huhhvvpd
槽	hupdhuvhuuhuvhh
氮	phhvdppddppd
砍	hpuvhpvpd
谣	dvpddpphhuvu
闯	duvvvh
厮	hphuuhhhpdpphu
朱	phhupd
瑞	hhuhuvuhpuvuu
盏	hhvpduvuuh
窃	ddvpdhvvp
腺	pvhhpuvhhuvpd
郡	vhhpuvhvu
饲	pvvvhuvh
乞	phv
咳	uvhdhvppd
帕	uvupuvhh
汁	ddhhu
泽	ddhvdhhu
芒	huudhv
荃	huupdhhuh
驳	vvhpdpd
丙	huvpd
兑	dpuvhpv
恭	huuhpduddd
拓	huhhpuvh
沃	ddhphpd
炕	dppddhpv
耍	hpuvuuvph
蝶	uvhuhdhuuhvhupd
桑	vdvdvdhupd
瞪	uvhhhvdppdhuvhdph
蝇	uvhuhduvhuvhhv
詹	pvhppddhhhuvh
冤	dvpvuvhpvd
殷	ppvhhvpvvd
渗	ddhvdhpdppp
帘	ddvpduvu
糕	dphupddphhuhdddd
钠	phhhvuvpd
歉	dphvhhuupdpvpd
碑	hpuvhpuvhhphu
鞭	huuhuvhhupuhuvhhpd
鲸	pvuvhuhhdhuvhupd
凳	vdppdhuvhdphpv
咙	uvhhpvpd
巢	vvvuvhhhupd
巷	huuhpdvhv
抄	huhupdp
焰	dppdpvpuhvhh
盈	vpvduvuuh
簧	phdphdhuuhuvhuhpd
贪	pddvuvpd
躯	puvhhhphpdv
唔	uvhhuvhuvh
惩	ppuhuhuhdvdd
铸	phhhvhhhphud
幂	dvuvhhhpduvu
吼	uvhvuhv
娜	vphvhhpvu
扁	dvhpuvhuu
晰	uvhhhupdpphu
趾	uvhuhuhuhuh
锻	phhhvpuhhhpvvd
屡	vhpdphupdvph
拚	huhvdhpu
捞	huhhuudvvp
杜	hupdhuh
柄	hupdhuvpd
棋	hupdhuuhhhpd
殿	vhphuuhpdpvvd
凄	dhhvhhuvph
竖	uuvddhdph
侍	puhuhhud
娇	vphphpdpu
搏	huhhuvhhudhud
浊	ddhuvhuhd
笛	phdphduvhuh
莱	huuhdphupd
贩	uvpdppvd
媒	vphhuuhhhupd
掘	huhvhpvuuvu
祭	pvddvdhhupd
谦	dvdphvhhuupd
踢	uvhuhuhuvhhpvpp
陵	vuhuhpdpvd
嗓	uvhvdvdvdhupd
堵	huhhuhpuvhh
愧	ddupuvhhpvvd
竭	dhdphuvhhpvpdv
贺	vpuvhuvpd
逸	pvuvhpvddvd
俯	pudhppuhud
凌	dhhuhpdpvd
熄	dppdpuvhhhdvdd
赋	uvpdhhuhuhvd
咧	uvhhpvduu
哨	uvhudpuvhh
唇	hphhvpduvh
妄	dhvvph
姨	vphhvhvpd
兹	dphvvdvvd
逊	vuhupddvd
啡	uvhuhhhuhhh
撕	huhhuuhhhpdpphu
泊	ddhpuvhh
蔽	huudpuvupdphpd
蚂	uvhuhdvvh
迪	uvhuhdvd
逝	huhpphudvd
橘	hupdvdvupuvpduvh
霜	hdvuddddhupduvhhh
侮	puphvvdhd
呎	uvhvhpd
掠	huhdhuvhupd
渺	ddhuvhhhupdp
芳	huudhvp
袁	huhuvhpvpd
裸	dvupduvhhhupd
醋	huvpvhhhuuhuvhh
刹	pdhupduu
埔	huhhuvhhud
尿	vhpuvpd
熔	dppdddvpdpduvh
辫	dhdphhpvvhdhdphhu
葵	huuvdppdhhpd
蚊	uvhuhddhpd
堤	huhuvhhhuhpd
惠	huvhhuhddvdd
枕	hupddvpv
淘	ddhpvphhuvu
溃	ddhuvhuhuvpd
颠	huuvhhhhpdhpuvpd
麓	hupdhupddhpvuuhhvpv
姆	vphvvdhd
宰	ddvdhdphhu
寡	ddvhpuvhhhpdvp
煌	dppdpuvhhhhuh
磅	hpuvhdhdpdvdhvp
禅	dvuddpuvhhhu
禹	puvhuvuhd
钙	phhhvhuhv
鳍	pvuvhuhhhuhppvuvhh
倚	puhpdhuvhu
叉	vdd
尉	vhphhupdhud
晕	uvhhdvhvhu
玄	dhvvd
砖	hpuvhhhvd
蝴	uvhuhdhuuvhpvhh
谱	dvdphuudphuvhh
乒	puhuhp
宏	ddvhpvd
框	hupdhhhuhv
艳	hhhupvvuhv
蜢	uvhuhdvuhuvuuh
裕	dvupdpdpduvh
屁	vhphvpv
曝	uvhhuvhhhuuhpdudhpd
粪	dphupdhuuhpd
莎	huuddhupdp
虾	uvhuhdhud
呜	uvhpvvh
崩	uvupvhhpvhh
